Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0.3453401,-0.7601393,0.8577563,-0.3568299
-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,0.3453401,-0.760139,0.8577575,-0.3568287
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,0.3453976,-0.7600325,0.8581491,-0.3565733
-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-0.8208557,0.3626514,-0.3301873,0.8222843
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0.3453979,-0.7600323,0.8581499,-0.3565726
1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-0.8212293,0.3629007,-0.3296165,0.822235
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-0.8212293,0.3629007,-0.3296165,0.822235
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-0.8212293,0.3629007,-0.3296165,0.822235
