Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_uH,Vou_1B_uH,Vou_1A_uL,Vou_1B_uL
-1,1,-1,1,-0.4222444,0.8842329,-0.6972278,0.7202241
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.4222417,0.8842323,-0.6972278,0.7202231
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.4222033,0.8842283,-0.6972148,0.720234
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.4222271,0.8842284,-0.6972304,0.7202232
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.422392,0.8842936,-0.6971565,0.7202294
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.7098763,-0.7053228,0.8774888,-0.3992281
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.7098149,-0.7053861,0.8774834,-0.3992881
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.7097988,-0.7054039,0.8774819,-0.3993056
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.7098348,-0.7053624,0.8774851,-0.3992638
1,-1,1,-1,0.7098348,-0.7053624,0.8774851,-0.3992638
