#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,driver_0024a,driver_0024b,driver_0026a,driver_0026b,Out_0014a,Out_0014b,Out_0008a,Out_0008b,Out_0021a,Out_0021b,Out_0002a,Out_0002b
69,2,2,-1,-1,-1,-1,-2,-2,-2,-2,2,2,-2,-2,-1,-1,2,2,1,1,-1,-1,1,1,-1,-1,-1,-1,-2,-2,2,2,-2,-2,1,1,-1,-1,-2,-2,-1,-1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-7.516674e-01,3.755526e-01,-4.070821e-01,-2.009610e-01,1.757187e-01,2.151400e-01,-2.506344e-01,-1.884770e-01,-1.728702e-01,-2.302263e-01,-1.109160e-01,7.448745e-01,1.299284e-01,2.006939e-01,1.020446e-01,4.265095e-01,-3.519232e-01,8.400424e-01,-3.525829e-01,7.935700e-01,1.092193e-01,2.082475e-01,-2.999470e-01,4.840399e-01,-1.761949e-01,-1.148802e-01,1.127371e-01,4.137729e-01,-1.036684e-01,-1.572499e-02,-7.621816e-01,3.253617e-01,-7.490273e-02,-2.364414e-02,-7.247811e-01,3.229425e-01,-2.195270e-01,-1.451392e-01,2.094234e-01,1.735057e-01,-3.998646e-01,-1.125435e-01,-6.128842e-01,6.713049e-02,-2.056847e-01,8.238013e-01,-4.491084e-01,6.812340e-01,-5.012362e-01,8.623750e-01,-7.771678e-01,5.548227e-01,-6.895046e-01,6.862303e-01,-8.251275e-01,3.385888e-01,-6.809647e-01,2.633068e-01,-7.073810e-01,-2.944456e-02,-6.308931e-01,4.375437e-01,-7.219250e-01,1.183076e-01,-5.854896e-01,7.736300e-01,-8.079046e-01,4.381939e-01,-3.787304e-01,8.719804e-01,-7.142122e-01,6.363936e-01,4.703194e-03,7.952367e-01,-2.640129e-01,7.138302e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,1.163155e-01,4.169816e-01,1.050412e-01,4.297887e-01,-4.032796e-01,-1.155377e-01,-4.099975e-01,-2.041400e-01
70,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-7.514159e-01,3.741960e-01,-6.578034e-01,-4.424452e-01,8.094017e-02,7.378826e-02,-1.421502e-02,-1.215436e-02,4.568780e-03,-1.150479e-02,-1.116624e-01,7.441131e-01,-1.600554e-02,5.818763e-03,5.060224e-01,5.736942e-01,-3.517378e-01,8.309295e-01,-3.484781e-01,8.226281e-01,2.095129e-02,6.892422e-02,-3.405488e-01,5.276629e-01,-3.496487e-02,-7.597447e-02,3.806874e-01,6.303919e-01,-9.836833e-02,-5.864063e-02,-7.723337e-01,3.517793e-01,-1.006961e-01,3.175102e-02,-7.637338e-01,3.548671e-01,-8.199917e-02,-6.524026e-02,1.265695e-02,1.317509e-02,-5.512353e-01,-5.197447e-01,-6.476262e-01,7.927407e-02,-1.124313e-01,7.979316e-01,-3.600507e-01,6.823864e-01,-4.594936e-01,8.637885e-01,-7.576232e-01,5.747079e-01,-6.683141e-01,6.937184e-01,-8.244942e-01,3.545666e-01,-6.770886e-01,2.666962e-01,-7.085244e-01,-2.190716e-02,-6.278018e-01,3.643743e-01,-7.065378e-01,6.675631e-02,-5.947382e-01,7.506348e-01,-8.094638e-01,4.183143e-01,-3.813879e-01,8.703983e-01,-7.189129e-01,6.264748e-01,3.683264e-03,7.954666e-01,-2.649190e-01,7.131201e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,3.835231e-01,6.333750e-01,5.086284e-01,5.764206e-01,-5.541754e-01,-5.224359e-01,-6.607586e-01,-4.451403e-01
71,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-7.514159e-01,3.741960e-01,-6.578034e-01,-4.424452e-01,8.094017e-02,7.378826e-02,-1.421502e-02,-1.215436e-02,4.568780e-03,-1.150479e-02,-1.116624e-01,7.441131e-01,-1.600554e-02,5.818763e-03,5.060224e-01,5.736942e-01,-3.517378e-01,8.309295e-01,-3.484781e-01,8.226281e-01,2.095129e-02,6.892422e-02,-3.405488e-01,5.276629e-01,-3.496487e-02,-7.597447e-02,3.806874e-01,6.303919e-01,-9.836833e-02,-5.864063e-02,-7.723337e-01,3.517793e-01,-1.006961e-01,3.175102e-02,-7.637338e-01,3.548671e-01,-8.199917e-02,-6.524026e-02,1.265695e-02,1.317509e-02,-5.512353e-01,-5.197447e-01,-6.476262e-01,7.927406e-02,-1.124313e-01,7.979316e-01,-3.600507e-01,6.823864e-01,-4.594936e-01,8.637885e-01,-7.576232e-01,5.747079e-01,-6.683141e-01,6.937184e-01,-8.244942e-01,3.545666e-01,-6.770886e-01,2.666962e-01,-7.085244e-01,-2.190716e-02,-6.278018e-01,3.643743e-01,-7.065378e-01,6.675631e-02,-5.947382e-01,7.506348e-01,-8.094638e-01,4.183143e-01,-3.813879e-01,8.703983e-01,-7.189129e-01,6.264748e-01,3.683264e-03,7.954666e-01,-2.649190e-01,7.131201e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,3.835231e-01,6.333750e-01,5.086284e-01,5.764206e-01,-5.541754e-01,-5.224359e-01,-6.607586e-01,-4.451403e-01
72,1,1,-2,-2,-2,-2,-1,-1,-1,-1,1,1,-1,-1,-2,-2,1,1,2,2,-2,-2,2,2,-2,-2,-2,-2,-1,-1,1,1,-1,-1,2,2,-2,-2,-1,-1,-2,-2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.076044e-01,3.303074e-01,-5.629849e-01,-3.593151e-01,-1.307581e-01,-9.582186e-02,6.254895e-02,5.877765e-02,6.389534e-02,6.500970e-02,-1.032867e-01,7.148025e-01,-7.567730e-02,-6.060815e-02,4.114035e-01,4.645917e-01,-3.460402e-01,8.063392e-01,-3.440580e-01,8.397650e-01,-2.062555e-01,-1.543136e-01,-3.848155e-01,6.582368e-01,1.842049e-01,1.425771e-01,2.897969e-01,5.492267e-01,-2.516618e-01,-5.669787e-02,-7.374706e-01,3.309213e-01,-1.458532e-01,1.642864e-01,-7.650078e-01,3.559346e-01,1.258977e-01,9.890069e-02,-5.568959e-02,-6.166889e-02,-4.799619e-01,-4.269385e-01,-7.011350e-01,1.803990e-01,-1.388566e-01,7.828090e-01,-3.273015e-01,5.847566e-01,-4.464664e-01,7.920599e-01,-6.693118e-01,4.770336e-01,-5.949837e-01,6.253732e-01,-7.375888e-01,2.741477e-01,-6.355782e-01,2.279033e-01,-6.555640e-01,-3.227308e-02,-6.011908e-01,3.432044e-01,-6.762956e-01,7.694637e-02,-5.503004e-01,6.993996e-01,-7.548103e-01,3.628503e-01,-3.472409e-01,8.334081e-01,-6.151815e-01,5.578218e-01,-1.913338e-02,7.849385e-01,-2.493704e-01,6.517072e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,2.924465e-01,5.519924e-01,4.138409e-01,4.671502e-01,-4.825615e-01,-4.292503e-01,-5.655030e-01,-3.615863e-01
73,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,-2,-2,0,0,2,2,-2,-2,2,2,-2,-2,-2,-2,0,0,0,0,0,0,2,2,-2,-2,0,0,-2,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.425722e-01,3.015498e-01,-4.757580e-01,-2.652398e-01,-4.601366e-01,-2.433984e-01,-3.838362e-01,4.723491e-01,-4.013736e-01,8.057613e-01,-1.485607e-02,5.796368e-01,-6.896057e-01,3.528276e-01,3.117132e-01,3.614835e-01,-2.715962e-01,7.699993e-01,-3.554012e-01,8.321042e-01,-5.281961e-01,-3.515679e-01,-3.485012e-01,8.478794e-01,3.686911e-01,4.675637e-01,1.708097e-01,4.554426e-01,-6.799423e-01,2.889755e-01,-6.883430e-01,3.266831e-01,-3.566919e-01,8.077931e-01,-7.740819e-01,3.542910e-01,2.817333e-01,3.479795e-01,-6.343826e-01,1.486642e-01,-3.549971e-01,-3.378510e-01,-7.462787e-01,3.118769e-01,-1.861175e-01,7.701875e-01,-2.855640e-01,5.381009e-01,-4.419623e-01,6.930868e-01,-6.394508e-01,4.339811e-01,-5.007291e-01,5.177162e-01,-6.595786e-01,2.940106e-01,-5.820547e-01,1.959885e-01,-6.512504e-01,4.922984e-03,-4.762079e-01,2.663727e-01,-6.357372e-01,1.085081e-01,-4.400076e-01,5.609437e-01,-6.609924e-01,3.357270e-01,-3.591171e-01,7.788567e-01,-5.749021e-01,5.019924e-01,-5.604658e-02,7.837582e-01,-1.863761e-01,5.731709e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,1.732825e-01,4.579816e-01,3.139440e-01,3.638501e-01,-3.571488e-01,-3.397995e-01,-4.778800e-01,-2.671683e-01
74,-1,-1,-2,-2,-2,-2,1,1,1,1,-1,-1,1,1,-2,-2,-1,-1,2,2,-2,-2,2,2,-2,-2,-2,-2,1,1,-1,-1,1,1,2,2,-2,-2,1,1,-2,-2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.789917e-01,-1.017958e-02,-1.320882e-01,-1.058399e-01,-5.488562e-01,-3.306804e-01,-3.638393e-01,4.673570e-01,-3.937457e-01,8.086667e-01,1.065204e-01,1.444893e-01,-7.321457e-01,3.861119e-01,1.265912e-01,1.063026e-01,1.035761e-01,2.687452e-01,-1.398021e-01,7.499599e-01,-6.030655e-01,-4.401663e-01,-3.548108e-01,8.375668e-01,4.617150e-01,5.587280e-01,6.086040e-02,1.138877e-01,-7.202071e-01,3.277624e-01,-1.975688e-01,1.547428e-01,-3.472320e-01,8.204641e-01,-5.996246e-01,3.758990e-01,3.820995e-01,4.197178e-01,-6.368156e-01,1.371872e-01,-7.030260e-02,-1.198141e-01,-7.617471e-01,3.321155e-01,6.171707e-02,8.777251e-02,8.475831e-02,8.189920e-02,-2.493867e-02,1.020752e-02,-8.882592e-03,-1.679402e-03,-7.379062e-02,-3.789721e-02,-5.724728e-02,-4.866884e-02,-1.782836e-01,-1.389845e-01,-1.685187e-01,-1.468390e-01,-6.716860e-02,-7.517960e-02,-7.598209e-02,-7.974341e-02,-4.974967e-04,-9.901738e-03,-6.743002e-03,-1.164012e-02,5.433321e-02,4.946930e-02,4.867736e-02,4.349926e-02,1.812546e-01,1.900513e-01,1.866734e-01,1.680272e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,6.215620e-02,1.150931e-01,1.276713e-01,1.074666e-01,-7.167778e-02,-1.210502e-01,-1.332230e-01,-1.069991e-01
75,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.042838e-01,-1.208472e-01,8.640003e-02,6.836883e-02,-6.327485e-01,-4.106826e-01,-3.524824e-01,4.707754e-01,-3.997341e-01,8.114144e-01,1.104129e-01,1.148461e-01,-7.658950e-01,4.217647e-01,-8.940337e-02,-6.631205e-02,1.116697e-01,1.608610e-01,-9.493347e-02,7.295003e-01,-6.866350e-01,-5.254592e-01,-3.560140e-01,8.324611e-01,5.400767e-01,6.376572e-01,-1.110000e-01,-1.024142e-01,-7.670599e-01,3.733020e-01,-7.693721e-02,1.058387e-01,-3.488643e-01,8.386893e-01,-5.245891e-01,3.625061e-01,4.705696e-01,4.856640e-01,-6.417331e-01,1.252438e-01,1.053075e-01,9.929744e-02,-7.660594e-01,3.557881e-01,-3.528038e-02,-3.183644e-02,-2.732114e-02,-2.193203e-02,-1.805579e-02,-1.649444e-02,-1.452509e-02,-1.231809e-02,-2.082532e-02,-2.123613e-02,-1.952779e-02,-1.605562e-02,-8.406013e-02,-9.902404e-02,-9.519203e-02,-7.289459e-02,3.364256e-02,3.143071e-02,2.765584e-02,2.245163e-02,1.719990e-02,1.664293e-02,1.499167e-02,1.239064e-02,2.022909e-02,2.154017e-02,2.000126e-02,1.596820e-02,8.448517e-02,1.004976e-01,9.675504e-02,7.359172e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-1.103654e-01,-1.019253e-01,-8.900161e-02,-6.584405e-02,1.045949e-01,9.874375e-02,8.594125e-02,6.779259e-02
76,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.042839e-01,-1.208472e-01,8.639996e-02,6.836864e-02,-6.327485e-01,-4.106842e-01,-3.524754e-01,4.707691e-01,-3.997345e-01,8.114113e-01,1.104129e-01,1.148461e-01,-7.658951e-01,4.217650e-01,-8.940345e-02,-6.631222e-02,1.116696e-01,1.608609e-01,-9.493319e-02,7.295000e-01,-6.866349e-01,-5.254589e-01,-3.560141e-01,8.324612e-01,5.400766e-01,6.376580e-01,-1.110000e-01,-1.024142e-01,-7.670599e-01,3.733020e-01,-7.693727e-02,1.058383e-01,-3.488642e-01,8.386894e-01,-5.245885e-01,3.625056e-01,4.705708e-01,4.856609e-01,-6.417291e-01,1.252398e-01,1.053075e-01,9.929745e-02,-7.660591e-01,3.557881e-01,-3.528039e-02,-3.183647e-02,-2.732117e-02,-2.193207e-02,-1.805580e-02,-1.649445e-02,-1.452511e-02,-1.231811e-02,-2.082532e-02,-2.123613e-02,-1.952780e-02,-1.605563e-02,-8.406014e-02,-9.902405e-02,-9.519204e-02,-7.289460e-02,3.364255e-02,3.143069e-02,2.765580e-02,2.245158e-02,1.719989e-02,1.664292e-02,1.499165e-02,1.239062e-02,2.022908e-02,2.154016e-02,2.000125e-02,1.596818e-02,8.448517e-02,1.004976e-01,9.675503e-02,7.359171e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-1.103654e-01,-1.019253e-01,-8.900168e-02,-6.584419e-02,1.045949e-01,9.874375e-02,8.594119e-02,6.779243e-02
77,-2,-2,-1,-1,-1,-1,2,2,2,2,-2,-2,2,2,-1,-1,-2,-2,1,1,-1,-1,1,1,-1,-1,-1,-1,2,2,-2,-2,2,2,1,1,-1,-1,2,2,-1,-1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.048974e-01,-1.225124e-01,1.807060e-01,1.966476e-01,-4.103389e-01,-1.703602e-01,-4.695137e-01,5.108538e-01,-4.265734e-01,8.585973e-01,1.101086e-01,1.144389e-01,-7.942953e-01,4.795041e-01,-2.267271e-01,-1.399470e-01,1.113206e-01,1.583330e-01,-7.483340e-02,6.781455e-01,-5.584282e-01,-1.085458e-01,-3.434107e-01,8.073234e-01,3.287660e-01,3.882052e-01,-2.824615e-01,-1.341603e-01,-7.693542e-01,3.733666e-01,-8.251935e-02,6.616760e-02,-3.556187e-01,8.383357e-01,-4.580898e-01,2.938168e-01,1.011620e-01,3.591394e-01,-7.102304e-01,1.908273e-01,2.301375e-01,2.265645e-01,-7.178752e-01,3.419088e-01,-2.621927e-01,-2.982554e-01,-3.031945e-01,-2.268852e-01,-5.504696e-02,-6.052359e-02,-5.781217e-02,-4.717890e-02,-3.267149e-02,-3.440651e-02,-3.251027e-02,-2.740100e-02,-8.908998e-02,-1.043913e-01,-1.005032e-01,-7.776634e-02,2.327163e-01,2.778659e-01,2.675928e-01,2.136003e-01,4.880258e-02,5.459279e-02,5.250189e-02,4.305695e-02,3.012438e-02,3.262510e-02,3.100513e-02,2.566397e-02,8.860337e-02,1.049201e-01,1.011550e-01,7.764952e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-2.819083e-01,-1.337320e-01,-2.264182e-01,-1.396465e-01,2.296063e-01,2.260246e-01,1.804060e-01,1.962638e-01
78,-2,-2,0,0,0,0,2,2,2,2,-2,-2,2,2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,2,2,-2,-2,2,2,0,0,0,0,2,2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.052358e-01,-1.225946e-01,-1.336182e-01,5.107581e-01,-7.200759e-01,1.805022e-01,-7.440995e-01,5.879866e-01,-4.833645e-01,9.144534e-01,1.093195e-01,1.124945e-01,-8.241754e-01,7.239922e-01,-6.353936e-01,1.954328e-02,1.039535e-01,1.057863e-01,-7.220100e-03,5.485158e-01,-7.738880e-01,4.498567e-01,-2.696628e-01,7.723575e-01,1.555166e-01,5.841932e-01,-5.982213e-01,2.612048e-01,-7.768283e-01,3.569529e-01,-8.012625e-02,8.485628e-02,-3.704960e-01,8.480382e-01,-4.102828e-01,2.779911e-01,-4.147673e-01,6.213507e-01,-8.064788e-01,3.934680e-01,2.070505e-01,4.905147e-01,-6.774725e-01,3.345137e-01,-5.298620e-01,-4.661583e-01,-5.813071e-01,-3.736327e-01,-8.657775e-02,-9.442631e-02,-8.977021e-02,-6.999349e-02,-4.032468e-02,-4.246236e-02,-3.988527e-02,-3.321734e-02,-9.166511e-02,-1.070127e-01,-1.029223e-01,-7.978254e-02,4.399984e-01,5.535641e-01,4.371890e-01,4.474224e-01,8.157456e-02,9.346441e-02,9.016103e-02,7.568495e-02,3.982098e-02,4.354844e-02,4.197233e-02,3.557061e-02,9.262353e-02,1.092756e-01,1.055475e-01,8.178198e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-5.973979e-01,2.612119e-01,-6.351158e-01,1.937880e-02,2.067781e-01,4.896359e-01,-1.333076e-01,5.101676e-01
79,-2,-2,1,1,1,1,2,2,2,2,-2,-2,2,2,1,1,-2,-2,-1,-1,1,1,-1,-1,1,1,1,1,2,2,-2,-2,2,2,-1,-1,1,1,2,2,1,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.075085e-01,-1.279345e-01,-2.967203e-01,6.656701e-01,-7.364156e-01,2.470181e-01,-7.990887e-01,5.933303e-01,-6.114546e-01,9.170609e-01,1.076412e-01,1.094664e-01,-8.524019e-01,7.355173e-01,-6.496041e-01,8.847059e-03,9.808806e-02,7.798975e-02,1.305831e-01,1.194628e-01,-7.735697e-01,5.441820e-01,1.029439e-01,2.727920e-01,-6.365008e-02,7.613729e-01,-6.283597e-01,2.600385e-01,-5.935440e-01,3.588986e-01,-9.823188e-02,-6.407869e-02,-1.611428e-01,7.666831e-01,-1.314935e-01,-7.627553e-02,-6.412038e-01,6.899213e-01,-8.173331e-01,4.438131e-01,6.610662e-02,7.361343e-01,-1.675163e-01,1.431051e-01,-5.678588e-01,-5.263001e-01,-6.395796e-01,-4.297978e-01,-9.309661e-02,-1.031300e-01,-9.845288e-02,-7.731343e-02,-4.190739e-02,-4.449787e-02,-4.206229e-02,-3.521711e-02,-9.219264e-02,-1.076859e-01,-1.036617e-01,-8.050520e-02,4.638025e-01,6.601594e-01,4.981903e-01,5.469639e-01,8.586278e-02,1.028558e-01,1.010619e-01,8.656050e-02,4.062046e-02,4.529644e-02,4.435329e-02,3.813377e-02,9.277283e-02,1.097146e-01,1.062095e-01,8.256314e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.275210e-01,2.596914e-01,-6.490637e-01,8.534806e-03,6.591525e-02,7.353110e-01,-2.963761e-01,6.651476e-01
80,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.075048e-01,-1.280482e-01,-3.266434e-01,7.053381e-01,-8.260204e-01,3.272089e-01,-8.276929e-01,6.193601e-01,-6.668766e-01,9.002068e-01,1.073529e-01,1.089625e-01,-8.312481e-01,8.036182e-01,-6.966918e-01,1.600621e-02,9.782337e-02,9.555628e-02,9.591539e-02,9.813339e-02,-8.452315e-01,6.599657e-01,1.057802e-01,1.628757e-01,-1.138070e-01,7.876766e-01,-6.799950e-01,3.243461e-01,-5.155440e-01,3.401906e-01,-9.964104e-02,-9.166392e-02,-1.137271e-01,7.367871e-01,-8.726595e-02,-8.160612e-02,-7.055452e-01,7.205512e-01,-8.280045e-01,5.095526e-01,7.700037e-02,7.682767e-01,-6.510232e-02,1.059688e-01,-6.043986e-01,-5.657359e-01,-6.906290e-01,-4.772740e-01,-9.672019e-02,-1.081655e-01,-1.040753e-01,-8.239398e-02,-4.257004e-02,-4.547727e-02,-4.318155e-02,-3.626620e-02,-9.229661e-02,-1.078891e-01,-1.039192e-01,-8.076760e-02,4.956942e-01,6.969748e-01,5.494396e-01,5.999373e-01,8.873389e-02,1.083388e-01,1.086341e-01,9.418574e-02,4.125632e-02,4.647408e-02,4.590470e-02,3.976699e-02,9.291727e-02,1.100316e-01,1.066528e-01,8.306786e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.791832e-01,3.239049e-01,-6.961091e-01,1.568167e-02,7.688119e-02,7.674414e-01,-3.262268e-01,7.047603e-01
81,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.249992e-01,-1.170737e-01,-3.266312e-01,7.053417e-01,-8.260154e-01,3.272808e-01,-8.276638e-01,6.194219e-01,-6.668106e-01,9.002415e-01,1.894864e-01,1.197406e-01,-8.311814e-01,8.036605e-01,-6.966978e-01,1.604877e-02,1.014876e-01,9.725301e-02,9.680367e-02,9.863322e-02,-8.451796e-01,6.600065e-01,1.060698e-01,1.629811e-01,-1.137426e-01,7.876757e-01,-6.799826e-01,3.243663e-01,-5.153220e-01,3.401662e-01,-9.587561e-02,-8.991557e-02,-1.135129e-01,7.367738e-01,-8.634826e-02,-8.108872e-02,-7.055182e-01,7.205771e-01,-8.280121e-01,5.096171e-01,7.703221e-02,7.682717e-01,-6.480466e-02,1.060539e-01,-6.043935e-01,-5.657219e-01,-6.906128e-01,-4.772495e-01,-9.672870e-02,-1.081678e-01,-1.040734e-01,-8.238968e-02,-4.258110e-02,-4.548372e-02,-4.318472e-02,-3.626714e-02,-9.230601e-02,-1.078956e-01,-1.039234e-01,-8.077002e-02,4.956920e-01,6.969740e-01,5.494415e-01,5.999380e-01,8.871007e-02,1.083229e-01,1.086233e-01,9.417810e-02,4.123024e-02,4.645443e-02,4.588979e-02,3.975557e-02,9.289425e-02,1.100130e-01,1.066378e-01,8.305569e-02,2.021276e-01,-9.831209e-02,2.021276e-01,-9.831209e-02,-6.791891e-01,3.239073e-01,-6.961312e-01,1.570990e-02,7.690869e-02,7.674301e-01,-3.262213e-01,7.047574e-01
