Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,0.3581007,-0.7640451,0.8316181,-0.345686
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.3581016,-0.764045,0.8316181,-0.3456851
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.3581008,-0.7640452,0.8316181,-0.3456868
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.3580917,-0.7640462,0.8316174,-0.3456952
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.3582557,-0.7640382,0.8316216,-0.3455753
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.7649011,0.3567902,-0.3478615,0.8294064
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.7649033,0.3567756,-0.3478767,0.8294049
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.764904,0.3567708,-0.3478821,0.8294044
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.7649023,0.3567819,-0.3478699,0.8294055
1,-1,1,-1,-0.7649023,0.3567819,-0.3478699,0.8294055
