Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vin_4A_H,Vin_4B_H,Vin_4A_L,Vin_4B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,0.3546037,-0.763898,0.8290189,-0.3449588
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-0.7635561,0.3551615,-0.3443379,0.8287548
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-0.7635168,0.3552193,-0.3441489,0.8287629
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,0.3546328,-0.7638701,0.8290351,-0.3447774
