#time,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,CK_0047a,CK_0047b,CK_0048a,CK_0048b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,Vout_0047a,Vout_0047b,Vout_0048a,Vout_0048b,driver_0005a,driver_0005b,driver_0008a,driver_0008b,driver_0012a,driver_0012b,driver_0022a,driver_0022b,driver_0034a,driver_0034b,driver_0039a,driver_0039b,Out_0038a,Out_0038b,Out_0011a,Out_0011b
196,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1.623757e-01,1.093490e-01,-1.073794e-01,-3.931488e-01,8.598642e-02,-9.845353e-02,1.067830e-01,-6.773915e-02,7.288456e-01,-9.096714e-02,9.530680e-02,9.450978e-02,-8.992313e-02,-9.017747e-02,5.139667e-02,-7.851235e-02,-8.281354e-02,-8.687201e-02,3.633440e-01,-5.274239e-01,3.739999e-01,2.232659e-01,1.001017e-01,9.681712e-02,8.287176e-01,-3.469384e-01,3.647988e-01,-7.674564e-01,-5.002699e-01,-6.786493e-01,8.318921e-01,-3.555677e-01,3.418420e-01,4.728481e-02,1.448782e-01,-6.566625e-01,-2.579399e-01,-3.808707e-01,5.907215e-01,5.028425e-01,-3.898585e-01,-6.001997e-01,-8.019565e-02,-1.055627e-01,8.377635e-01,-3.510095e-01,4.605828e-01,1.466490e-01,3.531462e-01,-7.637969e-01,-8.859738e-02,-8.945878e-02,8.300312e-01,-3.978411e-01,3.534434e-01,-7.663372e-01,4.169655e-01,-7.659444e-01,5.323658e-01,-4.060716e-01,9.403999e-02,9.372800e-02,5.127707e-01,4.323643e-01,9.348501e-02,9.324825e-02,-9.030004e-02,-9.031335e-02,9.294528e-02,9.244134e-02,-9.019246e-02,-8.983262e-02,9.140049e-02,8.882743e-02,-8.892244e-02,-8.649896e-02,8.149136e-02,6.030344e-02,-7.941318e-02,-5.929690e-02,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,9.372797e-02,9.339765e-02,-8.991178e-02,-9.025314e-02
197,-1,-1,-2,-2,-2,-2,-1,-1,2,2,-1,-1,-1,-1,-2,-2,-1,-1,2,2,-2,-2,-1,-1,2,2,2,2,-2,-2,2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-1,-1,1,1,2,2,1,1,1,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2.711813e-01,1.067338e-01,-1.144186e-01,-4.016697e-01,9.232078e-02,-5.841627e-02,1.383722e-01,-1.692436e-01,7.484140e-01,-1.366032e-01,1.199655e-01,1.196047e-01,-9.964629e-02,-1.278635e-01,5.148924e-02,-7.862950e-02,-8.249238e-02,-1.097249e-01,3.724875e-01,-6.004951e-01,3.794024e-01,2.301790e-01,1.243602e-01,1.205705e-01,8.296469e-01,-3.466910e-01,3.382156e-01,-7.573606e-01,-4.439835e-01,-6.315738e-01,8.309074e-01,-3.532041e-01,3.491672e-01,5.281913e-02,1.256215e-01,-6.289408e-01,-2.656061e-01,-3.862424e-01,5.488023e-01,4.605777e-01,-3.446520e-01,-5.467729e-01,-8.153001e-02,-1.130308e-01,8.438673e-01,-3.524323e-01,4.615248e-01,1.487729e-01,3.543183e-01,-7.639808e-01,-1.045369e-01,-1.075054e-01,8.079707e-01,-3.974201e-01,3.525209e-01,-7.704203e-01,3.831914e-01,-7.334836e-01,4.890342e-01,-3.600144e-01,1.157319e-01,1.297453e-01,4.483742e-01,3.809580e-01,7.657440e-02,9.343132e-02,-6.202462e-02,-8.784521e-02,9.331928e-02,9.265713e-02,-8.933437e-02,-8.936646e-02,9.153062e-02,8.891198e-02,-8.864039e-02,-8.631807e-02,8.154954e-02,6.034539e-02,-7.929164e-02,-5.921152e-02,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,1.154113e-01,1.294083e-01,-9.964038e-02,-1.279411e-01
198,0,0,-2,-2,-2,-2,0,0,2,2,0,0,0,0,-2,-2,0,0,2,2,-2,-2,0,0,2,2,2,2,-2,-2,2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7.927237e-01,-3.471268e-01,-1.210452e-01,-4.100247e-01,9.381846e-02,-5.190969e-02,3.178905e-01,-6.883194e-01,8.288022e-01,-3.431912e-01,7.857958e-01,-2.679529e-01,2.836745e-01,-4.113057e-01,5.129573e-02,-7.920522e-02,2.684400e-01,-6.769626e-01,3.558682e-01,-7.650117e-01,3.862316e-01,2.380530e-01,8.057055e-01,-3.568888e-01,8.303530e-01,-3.456867e-01,3.170975e-01,-7.487418e-01,-3.879496e-01,-5.875071e-01,8.286263e-01,-3.439156e-01,3.565049e-01,5.811774e-02,1.315428e-01,-6.197906e-01,-2.734186e-01,-3.922181e-01,5.051347e-01,4.181002e-01,-2.913708e-01,-4.943550e-01,-8.345817e-02,-1.249145e-01,8.500463e-01,-3.531064e-01,4.618725e-01,1.494526e-01,3.557899e-01,-7.646894e-01,2.879428e-01,-6.582289e-01,8.005023e-01,-4.012331e-01,3.544935e-01,-7.637618e-01,3.528614e-01,-6.976842e-01,4.840871e-01,-3.640669e-01,5.527004e-01,-4.723120e-03,4.016780e-01,3.225349e-01,1.048866e-01,1.005182e-01,8.868868e-02,-6.844146e-02,9.711108e-02,9.486395e-02,-8.305370e-02,-8.643416e-02,9.288233e-02,8.978356e-02,-8.702598e-02,-8.533645e-02,8.213875e-02,6.076228e-02,-7.865116e-02,-5.876857e-02,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,5.523720e-01,-5.061142e-03,2.836763e-01,-4.113765e-01
199,1,1,-2,-2,-2,-2,1,1,2,2,1,1,1,1,-2,-2,1,1,2,2,-2,-2,1,1,2,2,2,2,-2,-2,2,2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,1,1,-1,-1,2,2,-1,-1,-1,-1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8.058151e-01,-3.413289e-01,-1.477443e-01,-4.395744e-01,1.057164e-01,6.785792e-02,3.342033e-01,-7.262504e-01,8.275709e-01,-3.409791e-01,8.095130e-01,-3.411570e-01,2.936412e-01,-4.600727e-01,5.313428e-02,-7.514093e-02,3.096057e-01,-7.159172e-01,3.550691e-01,-7.647395e-01,4.104693e-01,2.707300e-01,8.096031e-01,-3.426550e-01,8.415004e-01,-3.458398e-01,1.967491e-01,-7.067738e-01,-2.181171e-01,-3.426846e-01,8.283822e-01,-3.450465e-01,3.906980e-01,8.739654e-02,-7.659225e-02,-7.592808e-02,-3.022261e-01,-4.142339e-01,1.986775e-01,3.024367e-01,-1.569615e-01,-1.817061e-01,-7.141616e-02,-4.292263e-02,6.667483e-01,-3.885744e-01,4.634804e-01,1.530253e-01,3.562999e-01,-7.648934e-01,3.137360e-01,-7.055614e-01,1.613763e-01,-1.903109e-01,3.540141e-01,-7.639804e-01,-1.504304e-02,-2.462209e-01,9.322793e-02,5.749852e-02,6.777947e-01,-7.128415e-02,1.726057e-01,1.824530e-01,1.586129e-01,1.080774e-01,6.710832e-02,-7.272160e-02,9.892306e-02,9.543788e-02,-8.398813e-02,-8.670006e-02,9.309474e-02,8.986780e-02,-8.713081e-02,-8.539287e-02,8.217147e-02,6.077262e-02,-7.868895e-02,-5.879735e-02,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,6.774888e-01,-7.160430e-02,2.936650e-01,-4.601285e-01
200,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8.287792e-01,-3.444934e-01,-1.689970e-01,-4.652091e-01,1.015671e-01,6.769517e-02,3.548195e-01,-7.638523e-01,8.287946e-01,-3.447323e-01,8.318360e-01,-3.548463e-01,3.636955e-01,-5.272464e-01,5.315676e-02,-7.475551e-02,3.551267e-01,-7.635246e-01,3.544225e-01,-7.638409e-01,4.337385e-01,2.987062e-01,8.287650e-01,-3.444495e-01,8.094541e-01,-3.505919e-01,8.287032e-02,-6.425010e-01,-1.321212e-02,-1.569838e-01,8.295710e-01,-3.455753e-01,4.196746e-01,1.107262e-01,-1.683005e-02,-4.778581e-03,-3.259955e-01,-4.335606e-01,1.399837e-02,1.857796e-01,4.988320e-03,1.933141e-02,-6.990734e-02,-5.008249e-02,4.835275e-01,-3.074238e-01,4.625681e-01,1.511845e-01,3.572917e-01,-7.657270e-01,3.545418e-01,-7.662725e-01,-5.458027e-03,-1.151595e-01,3.532490e-01,-7.637961e-01,-1.357889e-02,-5.751413e-02,2.519116e-02,3.681500e-03,7.288204e-01,-9.083451e-02,1.279363e-02,-1.403340e-02,1.622233e-01,1.090643e-01,1.069502e-01,-6.741803e-02,9.957685e-02,9.584285e-02,-8.230997e-02,-8.597086e-02,9.334218e-02,9.002225e-02,-8.676174e-02,-8.518687e-02,8.227091e-02,6.083894e-02,-7.856548e-02,-5.871886e-02,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,9.240446e-01,7.285414e-01,-9.113669e-02,3.637405e-01,-5.272835e-01
201,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8.287625e-01,-3.444899e-01,-1.671975e-01,-4.643367e-01,7.890189e-02,5.627869e-02,3.547972e-01,-7.638608e-01,8.287809e-01,-3.446103e-01,8.318258e-01,-3.548823e-01,3.636643e-01,-5.272961e-01,-4.193331e-01,-1.404609e-01,3.550553e-01,-7.635310e-01,3.546282e-01,-7.638537e-01,1.393183e-01,4.290936e-01,8.287524e-01,-3.444823e-01,8.108494e-01,-3.493688e-01,8.847298e-02,-6.429774e-01,-6.908093e-03,-1.356407e-01,8.295945e-01,-3.451283e-01,2.910193e-01,4.075191e-01,-2.618103e-02,-9.540309e-03,-3.254805e-01,-4.330943e-01,1.369811e-02,1.864709e-01,-1.656716e-02,1.197235e-02,-9.560558e-02,-6.491432e-02,4.867957e-01,-3.085264e-01,-8.314422e-03,8.869307e-02,3.598406e-01,-7.655715e-01,3.544706e-01,-7.662873e-01,-7.270982e-03,-1.174047e-01,3.542543e-01,-7.638239e-01,-1.439712e-02,-5.742571e-02,1.876899e-02,1.054881e-04,7.288203e-01,-9.088431e-02,1.203262e-02,-1.479753e-02,1.622158e-01,1.090417e-01,1.069338e-01,-6.745271e-02,9.955394e-02,9.582112e-02,-8.234332e-02,-8.600110e-02,9.332206e-02,9.000382e-02,-8.678873e-02,-8.521084e-02,8.225413e-02,6.082363e-02,-7.858676e-02,-5.873786e-02,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,7.285725e-01,-9.115610e-02,3.637696e-01,-5.272794e-01
202,2,2,-1,-1,-1,-1,2,2,1,1,2,2,2,2,-1,-1,2,2,1,1,-1,-1,2,2,1,1,1,1,-1,-1,1,1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,2,2,-2,-2,1,1,-2,-2,-2,-2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.355168e-01,-3.451627e-01,1.074974e-01,-3.903764e-01,1.118839e-01,6.354992e-02,3.321762e-01,-7.547498e-01,8.113072e-01,-3.452596e-01,8.308479e-01,-3.524314e-01,3.729088e-01,-6.004269e-01,-4.999760e-01,-5.920748e-02,3.563380e-01,-7.636915e-01,3.105854e-01,-7.173318e-01,-9.703739e-02,3.314137e-01,8.295235e-01,-3.441125e-01,7.913684e-01,-3.507082e-01,1.350977e-01,-6.312416e-01,1.321347e-01,1.145523e-03,8.124867e-01,-3.409898e-01,2.759726e-03,2.801846e-01,1.007634e-01,1.672032e-01,2.847735e-02,-2.987326e-01,-1.104125e-01,5.776963e-02,-2.105210e-02,1.632251e-01,-1.191326e-01,-6.816468e-02,4.381629e-01,-2.993501e-01,-2.175534e-02,1.566045e-01,3.259878e-01,-7.249365e-01,3.536167e-01,-7.703838e-01,-1.967338e-01,-2.188140e-01,3.080262e-01,-7.135696e-01,1.610809e-01,3.656600e-02,-1.099044e-01,-2.076667e-01,7.483902e-01,-1.364469e-01,4.361040e-02,-2.031003e-01,2.710783e-01,1.066594e-01,1.384483e-01,-1.690660e-01,1.241121e-01,1.201370e-01,-8.240319e-02,-1.093931e-01,1.191659e-01,1.176694e-01,-1.041722e-01,-1.055302e-01,1.123967e-01,1.023246e-01,-9.974259e-02,-1.005271e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,7.480752e-01,-1.367453e-01,3.730047e-01,-6.004640e-01
203,2,2,0,0,0,0,2,2,0,0,2,2,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2,-2,0,0,-2,-2,-2,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.463860e-01,-3.443880e-01,4.701959e-01,-6.885897e-01,-3.415702e-01,4.507971e-01,3.147132e-01,-7.470165e-01,8.029412e-01,-3.499312e-01,8.285774e-01,-3.430320e-01,3.563467e-01,-7.651018e-01,-8.201112e-01,2.621898e-01,3.580361e-01,-7.643900e-01,2.770300e-01,-6.762508e-01,-5.170427e-01,7.983720e-01,8.299020e-01,-3.429317e-01,7.812449e-01,-3.578457e-01,2.405100e-01,-6.298015e-01,-3.168724e-01,4.321529e-01,8.056609e-01,-3.446001e-01,-6.014048e-01,5.633637e-01,8.290223e-02,4.226938e-01,5.353519e-01,-4.968886e-01,2.224138e-01,-3.074316e-01,-2.828429e-01,8.125213e-01,-6.148799e-01,1.518786e-01,3.628824e-01,-2.887695e-01,-2.428794e-01,7.691989e-01,2.934772e-01,-6.840178e-01,3.556918e-01,-7.637146e-01,-3.407505e-01,-4.011307e-01,2.713902e-01,-6.660486e-01,2.731636e-01,2.109641e-01,-3.049675e-01,-4.536541e-01,8.287854e-01,-3.429761e-01,3.306677e-01,-6.760210e-01,7.926994e-01,-3.470453e-01,3.182040e-01,-6.882274e-01,8.059976e-01,-3.578612e-01,2.683563e-01,-6.776539e-01,7.841388e-01,-2.864119e-01,2.889058e-01,-6.607737e-01,6.063893e-01,-6.279252e-02,3.016261e-01,-4.112005e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,8.284154e-01,-3.432945e-01,3.564420e-01,-7.651920e-01
204,2,2,1,1,1,1,2,2,-1,-1,2,2,2,2,1,1,2,2,-1,-1,1,1,2,2,-1,-1,-1,-1,1,1,-1,-1,1,1,-2,-2,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,2,2,-2,-2,-1,-1,-2,-2,-2,-2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.576778e-01,-3.813701e-01,5.147261e-01,-7.650902e-01,-3.018507e-01,4.217854e-01,1.840232e-01,-7.011075e-01,1.812276e-01,-1.380111e-01,8.283811e-01,-3.443428e-01,3.554548e-01,-7.647561e-01,-8.584296e-01,3.056490e-01,3.571622e-01,-7.643286e-01,-7.001497e-02,-2.509294e-01,-5.633271e-01,8.193152e-01,8.407708e-01,-3.436538e-01,1.167762e-01,1.212100e-01,2.371579e-02,-1.417479e-01,-2.967622e-01,4.856306e-01,1.213760e-01,1.137620e-01,-6.687288e-01,5.538577e-01,1.268504e-01,4.696096e-01,6.724868e-01,-6.108628e-01,3.374790e-01,-5.223166e-01,-3.147300e-01,8.076761e-01,-6.272912e-01,1.397991e-01,-3.395908e-02,1.437676e-01,-2.405847e-01,7.558686e-01,-1.002138e-01,-1.101336e-01,3.550008e-01,-7.639571e-01,-3.667428e-01,-3.672671e-01,-1.055965e-01,-1.141258e-01,3.399904e-01,3.235503e-01,-3.237562e-01,-4.856106e-01,8.275444e-01,-3.408302e-01,3.352689e-01,-7.401974e-01,8.058542e-01,-3.414578e-01,3.343794e-01,-7.264563e-01,8.093899e-01,-3.421025e-01,3.101617e-01,-7.155395e-01,8.117674e-01,-3.469929e-01,3.140162e-01,-7.080793e-01,6.933048e-01,-1.054733e-01,2.985246e-01,-4.412273e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,8.272546e-01,-3.410916e-01,3.554152e-01,-7.648065e-01
205,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.385989e-01,-3.458429e-01,5.933775e-01,-8.651777e-01,-2.502445e-01,3.988190e-01,8.428424e-02,-6.503027e-01,7.513396e-02,-9.256853e-02,8.290268e-01,-3.449337e-01,3.546686e-01,-7.638585e-01,-8.909278e-01,3.545951e-01,3.547085e-01,-7.638768e-01,-9.647889e-02,-1.092874e-01,-6.229371e-01,8.266460e-01,8.258854e-01,-3.466358e-01,8.855607e-02,9.391251e-02,1.146623e-01,-5.270903e-02,-3.806932e-01,6.538301e-01,9.332682e-02,8.970976e-02,-8.014262e-01,6.221601e-01,1.691707e-01,5.036288e-01,7.449104e-01,-6.468267e-01,3.708657e-01,-6.038957e-01,-3.416940e-01,8.583501e-01,-6.443287e-01,1.167571e-01,-1.111600e-01,5.538445e-02,-2.362413e-01,7.452196e-01,-8.661669e-02,-9.286062e-02,3.543814e-01,-7.638845e-01,-4.266177e-01,-4.643322e-01,-9.400314e-02,-9.466756e-02,3.981215e-01,4.626227e-01,-3.168998e-01,-5.314365e-01,8.287586e-01,-3.446769e-01,3.944574e-01,-7.897188e-01,8.287796e-01,-3.446721e-01,3.549227e-01,-7.638957e-01,8.287512e-01,-3.447282e-01,3.553508e-01,-7.638303e-01,8.329128e-01,-3.584811e-01,3.561296e-01,-7.600012e-01,7.310704e-01,-1.114769e-01,3.491262e-01,-4.919598e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,8.285971e-01,-3.448075e-01,3.546506e-01,-7.638895e-01
206,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.386004e-01,-3.458446e-01,5.933774e-01,-8.651777e-01,-2.502440e-01,3.988184e-01,8.428516e-02,-6.503035e-01,7.513377e-02,-9.256983e-02,8.290268e-01,-3.449337e-01,3.546686e-01,-7.638585e-01,-8.909278e-01,3.545951e-01,3.547084e-01,-7.638768e-01,-9.647894e-02,-1.092876e-01,-6.229371e-01,8.266460e-01,8.258862e-01,-3.466357e-01,8.855607e-02,9.391250e-02,1.146623e-01,-5.270903e-02,-3.806932e-01,6.538301e-01,9.332679e-02,8.970970e-02,-8.014262e-01,6.221601e-01,1.691708e-01,5.036288e-01,7.449105e-01,-6.468267e-01,3.708658e-01,-6.038958e-01,-3.416941e-01,8.583501e-01,-6.443283e-01,1.167567e-01,-1.111600e-01,5.538444e-02,-2.362414e-01,7.452192e-01,-8.661669e-02,-9.286063e-02,3.543814e-01,-7.638845e-01,-4.266177e-01,-4.643322e-01,-9.400315e-02,-9.466759e-02,3.981215e-01,4.626228e-01,-3.168995e-01,-5.314365e-01,8.287586e-01,-3.446769e-01,3.944572e-01,-7.897188e-01,8.287796e-01,-3.446721e-01,3.549227e-01,-7.638957e-01,8.287512e-01,-3.447283e-01,3.553508e-01,-7.638302e-01,8.329127e-01,-3.584808e-01,3.561295e-01,-7.600019e-01,7.310712e-01,-1.114776e-01,3.491276e-01,-4.919613e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,8.285971e-01,-3.448075e-01,3.546505e-01,-7.638895e-01
207,1,1,2,2,2,2,1,1,-2,-2,1,1,1,1,2,2,1,1,-2,-2,2,2,1,1,-2,-2,-2,-2,2,2,-2,-2,2,2,-1,-1,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,1,1,-1,-1,-2,-2,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.911282e-01,-2.970466e-01,6.421959e-01,-8.311693e-01,-3.902606e-01,6.651949e-01,6.744540e-02,-6.117422e-01,8.266938e-02,-4.662863e-02,8.119511e-01,-3.412230e-01,3.108769e-01,-7.174014e-01,-8.867232e-01,3.498831e-01,3.268417e-01,-7.245316e-01,-9.813220e-02,-1.204075e-01,-7.014552e-01,7.847640e-01,7.931980e-01,-3.486619e-01,9.640702e-02,9.696540e-02,-1.921667e-02,-7.547264e-02,-5.140808e-01,6.402808e-01,9.539806e-02,9.258334e-02,-8.592928e-01,5.902750e-01,-1.898623e-01,2.998703e-01,8.094144e-01,-6.195023e-01,5.090520e-01,-6.230087e-01,-5.029315e-01,8.990819e-01,-7.012614e-01,1.948297e-01,5.228058e-02,8.474958e-02,-2.300190e-01,8.007895e-01,-9.104613e-02,-9.350958e-02,3.089375e-01,-7.138808e-01,3.282560e-02,-2.813066e-01,-9.384342e-02,-9.464685e-02,2.087689e-02,2.506959e-01,-2.379124e-01,-2.359082e-01,8.114185e-01,-3.454540e-01,4.761114e-01,-8.478255e-01,8.355772e-01,-3.454137e-01,3.324793e-01,-7.548063e-01,8.295067e-01,-3.442408e-01,3.568798e-01,-7.641313e-01,8.328406e-01,-3.583800e-01,3.562911e-01,-7.599875e-01,7.310697e-01,-1.114053e-01,3.491767e-01,-4.919120e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.228581e-01,9.240446e-01,9.240446e-01,-8.228581e-01,8.112176e-01,-3.456182e-01,3.108070e-01,-7.174761e-01
