Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-0.764917,0.3566923,-0.3480115,0.8294002
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,0.3581325,-0.7640425,0.8316218,-0.3456671
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0.3583164,-0.7640329,0.8316271,-0.3455306
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-0.7648927,0.3568539,-0.3478061,0.8294135
