Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,0.3453358,-0.7601388,0.8577604,-0.356826
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.3453361,-0.7601383,0.8577617,-0.3568247
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.3453358,-0.7601387,0.8577604,-0.3568268
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.34533,-0.7601417,0.8577506,-0.3568377
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.3453698,-0.760043,0.8581169,-0.35661
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.8211793,0.3628508,-0.3296952,0.8222388
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.8211622,0.362834,-0.329724,0.8222402
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.8211565,0.3628283,-0.329734,0.8222407
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.82117,0.3628415,-0.3297107,0.8222396
1,-1,1,-1,-0.82117,0.3628415,-0.3297107,0.8222396
