Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0.3453408,-0.7601388,0.8577583,-0.3568273
-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,0.3453415,-0.760138,0.8577612,-0.3568243
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,0.3453988,-0.760032,0.8581506,-0.3565712
-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-0.8208603,0.3626566,-0.3301777,0.822284
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0.3454,-0.7600317,0.858152,-0.3565696
1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-0.8212322,0.3629042,-0.3296098,0.8222348
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-0.8212322,0.3629042,-0.3296098,0.8222348
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-0.8212322,0.3629042,-0.3296098,0.8222348
