Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-0.765513,0.354439,-0.3553335,0.8319517
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7655119,0.3544405,-0.3553318,0.8319519
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7655123,0.3544392,-0.355336,0.8319519
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7655222,0.354422,-0.3553545,0.8319496
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7653558,0.3546075,-0.3551645,0.8319764
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3550342,-0.7639213,0.8258917,-0.3468261
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.3550066,-0.7639263,0.8258591,-0.3468551
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.3549974,-0.763928,0.8258472,-0.3468653
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3550201,-0.7639237,0.8258776,-0.3468402
1,-1,1,-1,0.3550201,-0.7639237,0.8258776,-0.3468402
