Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-0.7638764,0.3548759,-0.3446026,0.8287723
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7638764,0.354876,-0.3446024,0.8287723
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7638765,0.3548755,-0.3446032,0.8287722
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7638768,0.3548729,-0.3446061,0.828772
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7638746,0.3548898,-0.3445865,0.8287735
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3546688,-0.7638698,0.828762,-0.3447661
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.3546639,-0.7638703,0.8287615,-0.3447704
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.3546623,-0.7638705,0.8287614,-0.3447718
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3546659,-0.7638701,0.8287617,-0.3447687
1,-1,1,-1,0.3546659,-0.7638701,0.8287617,-0.3447687
