Vin_1A,Vin_2A,Vin_3A,Vin_1B,Vin_2B,Vin_3B,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
1,1,1,-1,-1,-1,-0.3509596,0.5450773,-0.6509982,0.08276259
0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,-0.3509718,0.5451159,-0.6510067,0.08280116
0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,-0.3510042,0.5452035,-0.6510259,0.08288752
0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,-0.3510209,0.545232,-0.6510325,0.08291375
0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,-0.3510353,0.5452596,-0.6510381,0.08293878
-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.728823,-0.09090927,0.3636289,-0.5272979
-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.7288244,-0.09093015,0.3636136,-0.5273143
-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.7288252,-0.09094885,0.3636052,-0.5273288
-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.7288227,-0.0908823,0.3636269,-0.5272727
-1,-1,-1,1,1,1,0.7288216,-0.09093829,0.3635997,-0.5273536
1,1,-1,-1,-1,1,-0.350989,0.5451498,-0.651009,0.08278962
0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.3509981,0.5451803,-0.6510164,0.08282501
0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.3510195,0.5452427,-0.6510323,0.08290431
0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.3510253,0.5452432,-0.651034,0.08291754
0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.3510309,0.5452485,-0.6510366,0.08293502
-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.7288244,-0.09093774,0.363647,-0.5273126
-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.7288265,-0.09097833,0.3636467,-0.5273381
-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.7288276,-0.09100344,0.3636422,-0.527356
-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.7288249,-0.0909333,0.3636628,-0.5272977
-1,-1,1,1,1,-1,0.7288223,-0.0909452,0.3636584,-0.5273451
1,-1,1,-1,1,-1,-0.3509624,0.5451331,-0.651011,0.08282427
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.3509743,0.5451658,-0.6510181,0.08285606
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.3510057,0.5452315,-0.6510324,0.08291872
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.3510215,0.5452412,-0.6510346,0.08292413
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.3510348,0.5452505,-0.651036,0.08292847
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.7288238,-0.09093213,0.3636168,-0.5273155
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.7288256,-0.09097093,0.3635921,-0.5273449
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.7288268,-0.0909947,0.3635815,-0.5273637
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.7288242,-0.09092635,0.3636041,-0.5273062
-1,1,-1,1,-1,1,0.7288201,-0.09089426,0.3636225,-0.5273201
1,-1,-1,-1,1,1,0.7288222,-0.09095907,0.3636011,-0.5273766
0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.7288216,-0.09094051,0.363609,-0.5273574
0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.7288216,-0.09091541,0.3636265,-0.5273222
0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.728823,-0.09093354,0.3636288,-0.5273263
0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.7288241,-0.09094676,0.3636323,-0.5273276
-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.3510347,0.5452256,-0.6510326,0.08291973
-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.3510251,0.5451552,-0.6510181,0.08285932
-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.3510194,0.5451184,-0.6510102,0.08282486
