Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-0.7635693,0.354925,-0.3444554,0.8287303
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7635631,0.3549518,-0.3444214,0.8287336
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7635486,0.3550179,-0.3443547,0.8287425
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7635443,0.3550259,-0.3443597,0.8287454
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7635131,0.3552618,-0.3440959,0.8287672
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3546968,-0.7638633,0.8290578,-0.3447307
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.3546096,-0.7638699,0.8290602,-0.344808
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.3545738,-0.7638729,0.8290594,-0.3448386
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3546616,-0.7638638,0.8290678,-0.3447637
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0.3543527,-0.7638825,0.8290131,-0.3448945
-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-0.763537,0.3549252,-0.3443417,0.8287335
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.7635349,0.3549432,-0.344328,0.8287356
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.7635263,0.3550272,-0.34426,0.8287443
