#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,driver_0037a,driver_0037b,driver_0038a,driver_0038b,Out_0033a,Out_0033b,Out_0019a,Out_0019b
62,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-1,-1,1,1,2,2,-2,-2,-2,-2,-1,-1,2,2,-2,-2,2,2,-2,-2,-1,-1,2,2,2,2,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,1,1,-1,-1,-2,-2,2,2,1,1,-1,-1,2,2,-2,-2,1,1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.554452e-01,-3.638141e-01,3.417442e-01,-7.647681e-01,1.302480e-01,1.444094e-01,7.110402e-01,2.054509e-01,-2.153979e-01,-1.546676e-01,2.654885e-01,2.383284e-01,-3.643120e-01,-5.338408e-02,8.031923e-01,-6.582657e-01,7.874047e-01,-2.431366e-01,6.280652e-02,1.680053e-01,-4.818573e-02,-1.078521e-01,1.045393e-01,1.299314e-01,2.346105e-01,-7.941784e-01,1.445712e-01,1.401277e-01,9.320774e-01,-5.238206e-01,-1.301690e-01,-1.428788e-01,7.049008e-02,4.297342e-02,3.775522e-01,-6.001896e-01,-1.913240e-01,-5.901160e-01,8.127477e-02,7.275123e-02,-1.179181e-01,-9.308376e-02,-1.282552e-01,-1.247299e-01,1.173428e-01,1.074505e-01,-2.673636e-01,-2.389612e-01,4.891330e-01,-8.468027e-01,-6.495316e-02,-5.292177e-02,1.363015e-01,1.355037e-01,6.329629e-01,-8.631665e-01,1.208589e-01,-6.308689e-01,-7.255204e-02,-6.561426e-02,7.514151e-01,-1.374972e-01,2.149835e-01,1.562808e-01,4.521303e-01,-3.053951e-01,-1.417844e-01,-1.352155e-01,2.708404e-01,1.065069e-01,1.394671e-01,-1.681322e-01,1.239137e-01,1.200157e-01,-8.232122e-02,-1.090666e-01,1.190834e-01,1.176069e-01,-1.040109e-01,-1.054099e-01,1.123500e-01,1.022772e-01,-9.966452e-02,-1.004553e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,7.513382e-01,-1.375544e-01,3.774468e-01,-6.002840e-01
63,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,0,0,0,0,2,2,-2,-2,-2,-2,0,0,2,2,-2,-2,2,2,-2,-2,0,0,2,2,2,2,0,0,0,0,-2,-2,0,0,-2,-2,0,0,0,0,-2,-2,2,2,0,0,0,0,2,2,-2,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.573671e-01,-3.548555e-01,3.406440e-01,-7.575258e-01,1.707740e-01,1.841837e-01,7.163679e-01,2.025342e-01,-5.300384e-01,-2.869129e-01,4.461727e-01,5.506925e-01,-6.457464e-01,3.081869e-01,7.859693e-01,-6.630194e-01,7.624223e-01,-2.504494e-01,1.668736e-01,1.825640e-01,-7.745879e-02,-9.932237e-02,-1.435934e-02,5.802051e-01,2.415645e-01,-7.984560e-01,1.798835e-01,1.704757e-01,9.144472e-01,-5.355771e-01,-1.751144e-01,-1.856057e-01,-3.863574e-01,4.573418e-01,3.603278e-01,-7.656404e-01,-1.449497e-01,-5.710921e-01,-4.038732e-01,8.066084e-01,-6.713188e-01,2.997704e-01,-1.399263e-01,-1.268356e-01,-2.759382e-01,7.837388e-01,-5.799265e-01,-4.266007e-01,4.684233e-01,-8.036762e-01,-6.350344e-01,1.622585e-01,1.573085e-01,1.458500e-01,6.157706e-01,-8.649017e-01,1.282475e-01,-6.296832e-01,-6.933031e-01,3.408407e-01,8.315511e-01,-3.441135e-01,3.603376e-01,4.003872e-01,4.586681e-01,-3.380440e-01,-1.793195e-01,-1.602454e-01,7.929215e-01,-3.473855e-01,3.194469e-01,-6.886319e-01,8.061130e-01,-3.580935e-01,2.686076e-01,-6.777660e-01,7.841511e-01,-2.864960e-01,2.890274e-01,-6.607702e-01,6.062902e-01,-6.285685e-02,3.016768e-01,-4.112129e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.315545e-01,-3.441138e-01,3.603002e-01,-7.656802e-01
64,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,1,1,-1,-1,2,2,-2,-2,-2,-2,1,1,2,2,-2,-2,2,2,-2,-2,1,1,2,2,2,2,1,1,1,1,-2,-2,1,1,-2,-2,-1,-1,1,1,-2,-2,2,2,-1,-1,1,1,2,2,-2,-2,-1,-1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.620295e-01,-3.554964e-01,3.423771e-01,-7.585959e-01,1.800314e-01,1.938854e-01,6.923531e-01,1.882450e-01,-5.833117e-01,-3.402748e-01,4.995801e-01,6.033026e-01,-7.086196e-01,3.336795e-01,5.154415e-02,-4.465759e-01,4.034619e-01,-2.075778e-01,1.589789e-01,9.102002e-02,-9.191487e-02,-7.747201e-02,-1.029670e-01,7.150760e-01,1.196321e-01,-7.513576e-01,1.877653e-01,1.727575e-01,7.277156e-01,-5.777611e-01,-1.843043e-01,-1.947256e-01,-3.575826e-01,4.514526e-01,3.594483e-01,-7.651593e-01,-1.322903e-01,-2.684719e-01,-3.902270e-01,8.075479e-01,-7.294539e-01,3.215236e-01,-1.405933e-01,-1.194538e-01,-3.457366e-01,8.202266e-01,-6.388082e-01,-4.820393e-01,1.327578e-01,-2.521118e-01,-6.391512e-01,1.547334e-01,1.507549e-01,1.280739e-01,5.094675e-01,-8.204153e-01,-8.734314e-02,-1.089014e-01,-7.311345e-01,3.811847e-01,8.302648e-01,-3.417036e-01,4.222106e-01,4.351125e-01,8.437101e-02,8.703780e-02,-1.875284e-01,-1.659319e-01,8.060670e-01,-3.416792e-01,3.357893e-01,-7.267640e-01,8.094669e-01,-3.422023e-01,3.106358e-01,-7.156352e-01,8.118083e-01,-3.470606e-01,3.142135e-01,-7.081254e-01,6.933360e-01,-1.055334e-01,2.986176e-01,-4.412192e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.302659e-01,-3.417071e-01,3.594179e-01,-7.652015e-01
65,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.577704e-01,-3.567745e-01,3.453088e-01,-7.601295e-01,1.894602e-01,2.020094e-01,6.462027e-01,1.725123e-01,-6.394548e-01,-3.975716e-01,5.550298e-01,6.542860e-01,-7.513879e-01,3.754775e-01,-2.320769e-01,-4.510286e-01,2.215578e-01,-1.771872e-01,1.544460e-01,3.828119e-02,-1.006026e-01,-2.525943e-02,-1.116479e-01,7.446303e-01,5.888172e-02,-7.284988e-01,1.932478e-01,1.742261e-01,5.433624e-01,-5.652956e-01,-1.936253e-01,-2.039250e-01,-3.288335e-01,4.376459e-01,3.581008e-01,-7.640452e-01,-3.917815e-02,-1.030301e-01,-3.987334e-01,8.029105e-01,-7.755845e-01,3.694544e-01,-1.383939e-01,-1.082744e-01,-3.539497e-01,8.404395e-01,-6.995998e-01,-5.378569e-01,1.955642e-01,7.581983e-02,-6.400162e-01,1.334184e-01,1.465324e-01,1.163242e-01,4.484095e-01,-7.879890e-01,-3.061874e-02,2.015487e-02,-7.661190e-01,4.227470e-01,8.316181e-01,-3.456868e-01,4.813737e-01,4.635324e-01,2.239429e-02,-2.481709e-02,-1.951287e-01,-1.701510e-01,8.289721e-01,-3.450022e-01,3.562242e-01,-7.639975e-01,8.288212e-01,-3.448622e-01,3.558291e-01,-7.638634e-01,8.329412e-01,-3.585519e-01,3.563312e-01,-7.600088e-01,7.310798e-01,-1.115158e-01,3.492022e-01,-4.919285e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.315828e-01,-3.457189e-01,3.580267e-01,-7.641210e-01
66,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.577704e-01,-3.567745e-01,3.453088e-01,-7.601295e-01,1.894602e-01,2.020094e-01,6.462026e-01,1.725123e-01,-6.394548e-01,-3.975715e-01,5.550298e-01,6.542860e-01,-7.513879e-01,3.754775e-01,-2.320769e-01,-4.510286e-01,2.215578e-01,-1.771872e-01,1.544460e-01,3.828119e-02,-1.006026e-01,-2.525943e-02,-1.116479e-01,7.446303e-01,5.888170e-02,-7.284988e-01,1.932478e-01,1.742261e-01,5.433624e-01,-5.652956e-01,-1.936253e-01,-2.039250e-01,-3.288336e-01,4.376459e-01,3.581008e-01,-7.640452e-01,-3.917817e-02,-1.030301e-01,-3.987334e-01,8.029105e-01,-7.755845e-01,3.694544e-01,-1.383939e-01,-1.082744e-01,-3.539497e-01,8.404395e-01,-6.995998e-01,-5.378569e-01,1.955642e-01,7.581984e-02,-6.400162e-01,1.334185e-01,1.465324e-01,1.163242e-01,4.484095e-01,-7.879890e-01,-3.061874e-02,2.015487e-02,-7.661190e-01,4.227470e-01,8.316181e-01,-3.456868e-01,4.813737e-01,4.635324e-01,2.239429e-02,-2.481710e-02,-1.951287e-01,-1.701510e-01,8.289721e-01,-3.450022e-01,3.562242e-01,-7.639975e-01,8.288212e-01,-3.448622e-01,3.558291e-01,-7.638634e-01,8.329412e-01,-3.585519e-01,3.563312e-01,-7.600088e-01,7.310798e-01,-1.115158e-01,3.492022e-01,-4.919285e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.315828e-01,-3.457189e-01,3.580267e-01,-7.641210e-01
67,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,2,2,-2,-2,1,1,-1,-1,-1,-1,2,2,1,1,-1,-1,1,1,-1,-1,2,2,1,1,1,1,2,2,2,2,-1,-1,2,2,-1,-1,-2,-2,2,2,-1,-1,1,1,-2,-2,2,2,1,1,-1,-1,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.983716e-01,-3.595141e-01,3.223029e-01,-7.232827e-01,2.963737e-01,3.035818e-01,4.735522e-01,2.619060e-01,-4.086418e-01,-1.914436e-01,3.505089e-01,4.190737e-01,-7.509308e-01,3.794384e-01,-1.869913e-01,-3.477575e-01,1.804361e-01,-8.565570e-02,-2.061304e-02,-5.334482e-02,9.761869e-02,4.121328e-02,-1.138133e-01,7.462622e-01,1.577719e-01,-7.202428e-01,2.497417e-01,2.455045e-01,4.288500e-01,-4.415980e-01,-3.155823e-01,-2.304529e-01,-3.734724e-01,3.772290e-01,3.095507e-01,-7.160495e-01,5.744867e-02,-2.364322e-01,-4.219833e-01,8.186756e-01,-7.745016e-01,3.702483e-01,-1.045963e-01,-1.457484e-01,-3.624473e-01,8.412310e-01,-5.691557e-01,-1.478202e-01,1.816060e-01,2.428661e-03,-6.947156e-01,1.995473e-01,1.763356e-01,1.513785e-01,3.997015e-01,-7.068566e-01,1.694764e-02,3.301067e-02,-7.939119e-01,4.773540e-01,8.168395e-01,-3.457906e-01,1.500384e-01,2.927504e-01,-2.103952e-02,-2.161466e-02,-2.390488e-01,-2.246983e-01,8.353657e-01,-3.460688e-01,3.337372e-01,-7.550656e-01,8.295709e-01,-3.445357e-01,3.571666e-01,-7.641711e-01,8.328668e-01,-3.585346e-01,3.564100e-01,-7.600076e-01,7.310810e-01,-1.115036e-01,3.492256e-01,-4.919093e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.168281e-01,-3.458063e-01,3.092312e-01,-7.163694e-01
68,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2,-2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,2,2,0,0,-2,-2,2,2,0,0,0,0,-2,-2,2,2,0,0,0,0,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.858546e-01,-3.702662e-01,2.886095e-01,-6.830569e-01,3.057307e-01,5.010921e-01,4.730491e-01,2.260959e-01,-6.188629e-01,-1.322239e-01,2.188966e-01,5.721460e-01,-7.508491e-01,3.786868e-01,-1.461754e-01,-3.309565e-01,1.910605e-01,-1.060755e-01,-6.031853e-01,1.760307e-01,4.532743e-01,-1.494754e-01,-1.141284e-01,7.464989e-01,2.066164e-01,-6.900033e-01,-9.018194e-02,8.227374e-01,4.432659e-01,-4.368861e-01,-6.321908e-01,1.850330e-01,-6.009780e-01,3.668609e-01,2.699337e-01,-6.714157e-01,8.612732e-02,-2.850281e-01,-4.576215e-01,9.076451e-01,-7.737287e-01,3.637973e-01,1.782346e-01,-4.200030e-01,-3.634602e-01,8.447505e-01,-7.846346e-01,4.437627e-01,1.537019e-01,-5.445020e-02,-8.143699e-01,3.109170e-01,-1.970953e-01,4.891029e-01,3.921948e-01,-6.689328e-01,2.312096e-02,2.793115e-02,-8.164393e-01,7.263576e-01,8.111927e-01,-3.482452e-01,-4.570982e-01,7.533095e-01,-4.146696e-02,-1.314149e-02,-5.567907e-01,-2.925996e-01,8.448628e-01,-3.458725e-01,3.176191e-01,-7.480190e-01,8.299555e-01,-3.441694e-01,3.584893e-01,-7.644470e-01,8.328019e-01,-3.584871e-01,3.565063e-01,-7.600131e-01,7.310861e-01,-1.114940e-01,3.492628e-01,-4.919123e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.109114e-01,-3.482295e-01,2.698374e-01,-6.718539e-01
69,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,2,2,-2,-2,-1,-1,1,1,1,1,2,2,-1,-1,1,1,-1,-1,1,1,2,2,-1,-1,-1,-1,2,2,2,2,1,1,2,2,1,1,-2,-2,2,2,1,1,-1,-1,-2,-2,2,2,-1,-1,1,1,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.046786e-01,1.094604e-01,-9.451503e-02,-1.121406e-01,1.854092e-01,7.486619e-01,1.593830e-01,2.610177e-01,-8.265618e-01,5.334827e-01,1.239973e-02,7.539333e-01,-7.505901e-01,3.783438e-01,-5.085450e-02,-5.759955e-02,8.354906e-02,8.120560e-02,-5.835308e-01,1.841597e-01,-3.046411e-01,3.922863e-01,-1.127576e-01,7.476290e-01,-1.217391e-01,-2.631965e-01,-1.908375e-01,8.554464e-01,1.220296e-02,5.332237e-02,-6.592249e-01,1.379308e-01,-6.744863e-01,4.361209e-01,-6.853396e-02,-2.506333e-01,-8.276252e-02,-6.299379e-02,-5.546335e-01,9.357110e-01,-7.677434e-01,3.396492e-01,-5.895286e-01,5.113764e-02,-3.641708e-01,8.571719e-01,-7.936230e-01,4.692035e-01,4.544001e-02,5.253521e-02,-8.690020e-01,5.196901e-01,-1.918033e-01,4.961408e-01,-1.282796e-02,-7.719248e-02,9.299515e-02,-4.943690e-03,-8.489881e-01,7.127054e-01,1.794622e-01,-1.394017e-01,-6.102703e-01,8.375450e-01,-3.930454e-02,1.619962e-02,-7.477175e-01,2.128120e-01,6.575036e-01,-3.823564e-01,1.848631e-01,-7.014098e-01,8.408300e-01,-3.444735e-01,3.577907e-01,-7.644088e-01,8.325272e-01,-3.589455e-01,3.561114e-01,-7.601235e-01,7.311045e-01,-1.117495e-01,3.490609e-01,-4.920776e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,1.791112e-01,-1.391438e-01,-6.894735e-02,-2.505912e-01
70,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.151850e-02,8.320013e-02,-7.383008e-02,-8.928768e-02,1.862582e-01,7.552423e-01,1.114215e-01,1.130881e-01,-9.630259e-01,6.767065e-01,-3.922370e-02,7.920309e-01,-7.505571e-01,3.765667e-01,3.150842e-02,2.118740e-02,1.052256e-01,1.098055e-01,-6.283119e-01,2.040852e-01,-3.539639e-01,4.121682e-01,-1.127369e-01,7.482829e-01,-1.117282e-01,-1.136177e-01,-2.016360e-01,8.803098e-01,2.331000e-02,4.032525e-02,-7.117307e-01,2.091590e-01,-7.132443e-01,4.708409e-01,-9.484858e-02,-1.086483e-01,-1.119073e-01,-1.116425e-01,-6.119686e-01,9.272997e-01,-7.679272e-01,3.338938e-01,-6.217456e-01,2.083586e-02,-3.667860e-01,8.491814e-01,-8.796351e-01,5.802136e-01,-3.003173e-02,-2.190223e-02,-8.821687e-01,6.285627e-01,-2.569426e-01,5.444611e-01,-2.461065e-02,-4.195713e-02,9.206234e-02,-3.285677e-02,-8.368698e-01,7.796923e-01,7.270969e-02,-9.280462e-02,-6.505481e-01,8.798451e-01,-4.551601e-02,4.352397e-02,-8.094654e-01,2.723015e-01,5.369575e-01,-3.453425e-01,8.391004e-02,-6.500285e-01,8.254009e-01,-3.473910e-01,3.552571e-01,-7.639696e-01,8.331848e-01,-3.592490e-01,3.554801e-01,-7.601474e-01,7.311043e-01,-1.120008e-01,3.488951e-01,-4.922829e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,7.244723e-02,-9.242269e-02,-9.507541e-02,-1.084953e-01
71,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.151850e-02,8.320013e-02,-7.383008e-02,-8.928768e-02,1.862582e-01,7.552422e-01,1.114215e-01,1.130881e-01,-9.630259e-01,6.767065e-01,-3.922370e-02,7.920309e-01,-7.505571e-01,3.765667e-01,3.150843e-02,2.118740e-02,1.052256e-01,1.098055e-01,-6.283122e-01,2.040854e-01,-3.539639e-01,4.121682e-01,-1.127369e-01,7.482829e-01,-1.117282e-01,-1.136177e-01,-2.016360e-01,8.803101e-01,2.331000e-02,4.032525e-02,-7.117307e-01,2.091590e-01,-7.132443e-01,4.708409e-01,-9.484858e-02,-1.086483e-01,-1.119073e-01,-1.116425e-01,-6.119686e-01,9.272997e-01,-7.679272e-01,3.338938e-01,-6.217456e-01,2.083586e-02,-3.667860e-01,8.491814e-01,-8.796351e-01,5.802136e-01,-3.003173e-02,-2.190223e-02,-8.821687e-01,6.285627e-01,-2.569430e-01,5.444615e-01,-2.461065e-02,-4.195712e-02,9.206235e-02,-3.285677e-02,-8.368698e-01,7.796923e-01,7.270972e-02,-9.280443e-02,-6.505481e-01,8.798451e-01,-4.551596e-02,4.352399e-02,-8.094654e-01,2.723015e-01,5.369573e-01,-3.453423e-01,8.390990e-02,-6.500284e-01,8.254008e-01,-3.473910e-01,3.552571e-01,-7.639696e-01,8.331848e-01,-3.592490e-01,3.554801e-01,-7.601474e-01,7.311043e-01,-1.120008e-01,3.488951e-01,-4.922829e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,7.244726e-02,-9.242254e-02,-9.507541e-02,-1.084952e-01
72,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,1,1,-1,-1,-2,-2,2,2,2,2,1,1,-2,-2,2,2,-2,-2,2,2,1,1,-2,-2,-2,-2,1,1,1,1,2,2,1,1,2,2,-1,-1,1,1,2,2,-2,-2,-1,-1,1,1,-2,-2,2,2,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.363833e-02,8.590561e-02,-7.373234e-02,-8.932239e-02,1.680417e-01,7.581624e-01,1.688934e-01,1.276669e-01,-9.353790e-01,6.722019e-01,-7.576987e-02,7.771507e-01,-7.076335e-01,3.319702e-01,8.042306e-02,7.801312e-02,3.043621e-01,2.665882e-01,-6.883208e-01,2.933800e-01,-3.232769e-01,3.311715e-01,-1.095593e-01,7.337542e-01,-1.701619e-01,-1.281828e-01,-2.083560e-01,8.928162e-01,2.497544e-02,4.418907e-02,-7.095626e-01,2.253280e-01,-6.767754e-01,3.847149e-01,-9.659137e-02,-1.199386e-01,-3.137499e-01,-2.719171e-01,-6.079708e-01,8.676931e-01,-7.264464e-01,2.834671e-01,-6.061393e-01,-1.892558e-02,-3.751841e-01,8.085383e-01,-8.363721e-01,6.233436e-01,-6.593062e-02,-8.215865e-02,-7.875420e-01,6.110310e-01,-2.920157e-01,6.045100e-01,-1.612985e-02,-4.276704e-02,4.215848e-02,-1.330592e-01,-7.848829e-01,7.543963e-01,7.993736e-02,-4.812610e-02,-6.803505e-01,8.335621e-01,4.692568e-02,1.144968e-01,-8.111159e-01,2.732336e-01,4.901564e-01,-2.980294e-01,6.770067e-02,-6.118180e-01,7.929642e-01,-3.493652e-01,3.270388e-01,-7.251668e-01,8.137158e-01,-3.474249e-01,3.104971e-01,-7.068798e-01,6.932196e-01,-1.059084e-01,2.982672e-01,-4.414835e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,7.958407e-02,-4.774844e-02,-9.686304e-02,-1.198590e-01
73,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,0,0,0,0,-2,-2,2,2,2,2,0,0,-2,-2,2,2,-2,-2,2,2,0,0,-2,-2,-2,-2,0,0,0,0,2,2,0,0,2,2,0,0,0,0,2,2,-2,-2,0,0,0,0,-2,-2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.907664e-02,8.875072e-02,-6.775862e-02,-8.733381e-02,1.561917e-01,7.612986e-01,1.964457e-01,1.353160e-01,-9.049055e-01,6.728088e-01,-9.799963e-02,7.776513e-01,-6.583711e-01,2.990953e-01,5.891325e-01,-8.635960e-02,5.432542e-01,3.749231e-01,-7.521688e-01,4.052212e-01,-3.049385e-01,2.894977e-01,-8.338277e-02,6.936790e-01,-2.723112e-01,-1.512610e-01,-2.166099e-01,8.885398e-01,1.037128e-01,5.811692e-02,-7.055587e-01,2.326599e-01,-6.610551e-01,2.914191e-01,-9.810804e-02,-1.382703e-01,-4.676298e-01,-5.170349e-01,-6.375937e-01,8.069739e-01,-6.855668e-01,2.506435e-01,-5.963475e-01,-4.298164e-02,-3.728365e-01,7.633699e-01,-7.841693e-01,6.579416e-01,3.393154e-01,-4.167214e-01,-6.919287e-01,5.979955e-01,-2.827065e-01,6.518452e-01,1.338114e-01,-2.403502e-02,2.610381e-01,-6.499053e-01,-7.281021e-01,7.356228e-01,8.210411e-02,-4.292790e-02,-7.140294e-01,7.650789e-01,4.228583e-01,-2.572356e-01,-8.114066e-01,2.747548e-01,4.797741e-01,-3.020170e-01,8.608736e-02,-5.935562e-01,7.898251e-01,-3.694511e-01,3.000219e-01,-6.971054e-01,7.880189e-01,-2.870993e-01,2.801117e-01,-6.570484e-01,6.058753e-01,-6.290933e-02,3.020097e-01,-4.117101e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.166931e-02,-4.253555e-02,-9.845053e-02,-1.382402e-01
