#time,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,CK_0045a,CK_0045b,CK_0046a,CK_0046b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,Vout_0045a,Vout_0045b,Vout_0046a,Vout_0046b,driver_0005a,driver_0005b,driver_0006a,driver_0006b,Out_0008a,Out_0008b,Out_0022a,Out_0022b,Out_0016a,Out_0016b,Out_0038a,Out_0038b
66,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.783998e-02,7.744311e-02,-8.172911e-01,3.723440e-01,-1.114553e-01,7.441382e-01,-7.630575e-01,3.544788e-01,3.746031e-02,-1.350807e-01,9.227186e-02,9.112551e-02,-9.430416e-02,7.487861e-02,-4.884240e-01,-4.470115e-01,-5.804071e-01,-3.739128e-01,-7.166695e-01,7.063804e-01,-3.511157e-01,5.458306e-01,-3.463767e-01,8.279183e-01,-9.371349e-02,-9.257734e-02,-6.202644e-01,3.628400e-01,4.265478e-01,5.127499e-01,-6.904926e-01,7.181448e-01,-3.555345e-01,6.980893e-01,-7.512972e-01,3.746087e-01,-7.999922e-02,9.121299e-03,-9.521436e-02,-9.454322e-02,8.831566e-02,9.130415e-02,-6.511383e-01,8.318750e-02,-9.302379e-02,-9.403096e-02,-7.723138e-01,3.525715e-01,2.866294e-01,5.417976e-01,-1.431329e-01,8.014331e-01,-7.006167e-01,5.991344e-02,-3.511421e-01,8.307591e-01,-9.226162e-02,-9.243510e-02,9.231127e-02,9.256682e-02,-1.114910e-01,-9.686535e-02,-4.492021e-01,8.826439e-01,-8.301352e-01,5.396479e-01,-6.293206e-01,8.332548e-01,-8.093409e-01,6.511325e-01,-5.243344e-01,8.680767e-01,-6.529204e-01,7.401444e-01,-3.433334e-01,8.798362e-01,-2.397494e-01,7.239445e-01,2.449350e-02,7.908027e-01,-8.405243e-01,5.944523e-01,-5.940489e-01,8.479159e-01,-8.148564e-01,4.773547e-01,-6.712571e-01,8.134582e-01,-8.271599e-01,2.714909e-01,-7.455461e-01,6.525044e-01,-7.024222e-01,-6.306828e-02,-6.880843e-01,2.506729e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-8.180707e-01,3.698642e-01,-6.923114e-01,7.152842e-01,-7.138530e-01,7.080079e-01,-4.462785e-01,8.838095e-01
67,-2,-2,1,1,2,2,2,2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,1,1,2,2,2,2,-1,-1,1,1,-2,-2,1,1,1,1,2,2,-2,-2,-2,-2,-1,-1,2,2,-1,-1,2,2,-2,-2,1,1,1,1,2,2,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.145707e-02,7.772447e-02,-7.572531e-01,2.789885e-01,-1.112542e-01,7.441580e-01,-7.636113e-01,3.568308e-01,3.885888e-02,-1.264132e-01,1.149353e-01,1.270426e-01,-1.339729e-01,1.813597e-01,-4.585748e-01,-4.019731e-01,-5.310675e-01,-3.331507e-01,-6.291225e-01,6.917858e-01,-3.800760e-01,6.589686e-01,-3.435572e-01,8.405225e-01,-1.134918e-01,-1.053085e-01,-5.884895e-01,3.285414e-01,3.822562e-01,4.675433e-01,-6.585514e-01,6.183880e-01,-3.265979e-01,6.661264e-01,-7.512221e-01,3.747826e-01,-8.048037e-02,-5.182062e-03,-6.532586e-02,-9.138187e-02,1.132897e-01,1.203001e-01,-6.996833e-01,1.791065e-01,-1.008485e-01,-1.310774e-01,-7.723069e-01,3.529206e-01,2.402251e-01,5.064845e-01,-1.562757e-01,7.856259e-01,-6.680399e-01,4.322127e-02,-3.507738e-01,8.301396e-01,-1.067843e-01,-1.083034e-01,1.191230e-01,1.189805e-01,-2.519076e-01,-7.089021e-02,-3.948852e-01,8.583167e-01,-8.104958e-01,4.685767e-01,-6.481067e-01,7.875525e-01,-8.230991e-01,6.069118e-01,-5.317689e-01,8.641797e-01,-6.594136e-01,7.315709e-01,-3.489230e-01,8.791842e-01,-2.425146e-01,7.228876e-01,2.160302e-02,7.913854e-01,-8.068698e-01,6.143200e-01,-5.540078e-01,8.669902e-01,-8.165588e-01,4.857178e-01,-6.627691e-01,8.168024e-01,-8.277137e-01,2.779110e-01,-7.436918e-01,6.538654e-01,-7.028665e-01,-6.012227e-02,-6.880772e-01,2.511781e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.582034e-01,2.764572e-01,-6.605070e-01,6.154871e-01,-6.262551e-01,6.936066e-01,-3.918476e-01,8.597523e-01
68,-2,-2,0,0,2,2,2,2,-2,-2,0,0,0,0,-2,-2,-2,-2,0,0,2,2,2,2,0,0,0,0,-2,-2,0,0,0,0,2,2,-2,-2,-2,-2,0,0,2,2,0,0,2,2,-2,-2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.798992e-02,6.500749e-02,-6.829548e-01,2.106688e-01,-1.109648e-01,7.441746e-01,-7.637131e-01,3.578590e-01,3.454619e-02,-1.245917e-01,-3.043298e-01,4.799700e-01,-3.461974e-01,8.023265e-01,-4.415845e-01,-3.734964e-01,-4.932809e-01,-2.923374e-01,-5.468283e-01,6.978351e-01,-3.441566e-01,8.448440e-01,-3.430151e-01,8.299012e-01,-6.670158e-01,2.722543e-01,-5.616280e-01,2.848299e-01,3.263400e-01,3.962398e-01,-6.037570e-01,5.236529e-01,-2.814879e-01,6.287950e-01,-7.511025e-01,3.751358e-01,-8.732468e-02,-2.707387e-02,-1.408595e-01,-1.030623e-01,-3.450131e-01,8.054662e-01,-7.472790e-01,3.143318e-01,-5.968758e-01,7.997078e-02,-7.722111e-01,3.533654e-01,1.810814e-01,4.639817e-01,-1.775150e-01,7.808622e-01,-6.444905e-01,4.510144e-02,-3.501692e-01,8.304010e-01,-6.867934e-01,3.014947e-01,-3.573473e-01,7.829533e-01,-6.741524e-01,2.793909e-01,-3.374455e-01,8.543333e-01,-8.098156e-01,3.984438e-01,-6.793163e-01,7.184882e-01,-8.229005e-01,5.700031e-01,-5.436676e-01,8.612274e-01,-6.683555e-01,7.165689e-01,-3.570952e-01,8.789730e-01,-2.462802e-01,7.213981e-01,1.746287e-02,7.922322e-01,-7.914907e-01,6.246734e-01,-4.998293e-01,8.627364e-01,-8.165741e-01,4.894534e-01,-6.410979e-01,8.218642e-01,-8.273839e-01,2.809218e-01,-7.391156e-01,6.566471e-01,-7.030936e-01,-5.872445e-02,-6.877824e-01,2.518600e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.843396e-01,2.080459e-01,-6.060198e-01,5.206941e-01,-5.438908e-01,7.001742e-01,-3.343421e-01,8.561402e-01
69,-2,-2,-1,-1,2,2,2,2,-2,-2,1,1,1,1,-2,-2,-2,-2,-1,-1,2,2,2,2,1,1,-1,-1,-2,-2,-1,-1,-1,-1,2,2,-2,-2,-2,-2,1,1,2,2,1,1,2,2,-2,-2,-1,-1,-1,-1,2,2,1,1,1,1,1,1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-4.939419e-02,7.099499e-02,-4.073030e-01,-2.024944e-01,-1.110738e-01,7.441572e-01,-7.634684e-01,3.563340e-01,5.879863e-02,-1.508322e-02,-2.981946e-01,4.913257e-01,-3.431602e-01,8.109926e-01,-1.745890e-01,-2.306164e-01,-2.509950e-01,-1.885253e-01,1.029992e-01,4.269758e-01,-3.447218e-01,8.349841e-01,-3.436113e-01,8.294982e-01,-7.139399e-01,3.084934e-01,-1.875415e-01,-1.117249e-01,2.099067e-01,1.736673e-01,-4.101649e-01,-1.207894e-01,1.763453e-01,2.152622e-01,-7.511624e-01,3.749732e-01,-7.405868e-02,-9.393594e-03,-1.210307e-01,-9.442221e-02,-3.408953e-01,8.121378e-01,-7.547309e-01,3.316916e-01,-6.117082e-01,6.293335e-02,-7.722247e-01,3.530975e-01,1.327634e-01,2.019817e-01,1.179887e-01,2.100352e-01,-2.215100e-01,-1.450114e-01,-3.503637e-01,8.304524e-01,-7.242586e-01,3.246358e-01,-3.495320e-01,7.925183e-01,-7.163349e-01,3.113981e-01,1.224217e-01,4.165335e-01,-7.203351e-01,1.164758e-01,-6.329945e-01,4.333318e-01,-8.086769e-01,4.365772e-01,-5.891431e-01,7.706381e-01,-7.152933e-01,6.350059e-01,-3.808134e-01,8.716813e-01,-2.644782e-01,7.136351e-01,3.433245e-03,7.953809e-01,-4.477347e-01,6.815774e-01,-1.983184e-01,8.227597e-01,-7.768667e-01,5.560697e-01,-4.961787e-01,8.617824e-01,-8.248419e-01,3.400667e-01,-6.862074e-01,6.874957e-01,-7.075074e-01,-2.853584e-02,-6.801408e-01,2.640253e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-4.101832e-01,-2.056622e-01,-4.135325e-01,-1.237477e-01,1.059636e-01,4.302368e-01,1.259854e-01,4.196858e-01
70,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-9.500224e-02,6.500866e-02,-6.605883e-01,-4.441378e-01,-1.111761e-01,7.441502e-01,-7.632007e-01,3.549514e-01,6.759407e-02,4.593703e-02,-3.473115e-01,5.389639e-01,-3.445876e-01,8.287525e-01,7.902380e-03,-1.028336e-02,-1.368297e-02,-1.190285e-02,5.081459e-01,5.746706e-01,-3.443026e-01,8.287535e-01,-3.442097e-01,8.287903e-01,-7.638987e-01,3.541170e-01,-4.724463e-02,-7.977246e-02,1.312107e-02,1.341896e-02,-5.619176e-01,-5.254499e-01,8.203745e-02,7.427949e-02,-7.511990e-01,3.748875e-01,-7.909250e-02,-5.382234e-02,-1.093846e-01,-9.162045e-02,-3.451270e-01,8.290400e-01,-7.638211e-01,3.547814e-01,-6.494702e-01,7.979324e-02,-7.722383e-01,3.529511e-01,-1.405009e-02,6.741451e-03,2.969940e-02,7.173127e-02,-8.338150e-02,-6.581045e-02,-3.505354e-01,8.305296e-01,-7.639010e-01,3.540963e-01,-3.473542e-01,8.258423e-01,-7.638381e-01,3.545192e-01,3.901543e-01,6.346166e-01,-7.063593e-01,6.534864e-02,-6.315184e-01,3.620826e-01,-8.101827e-01,4.169153e-01,-5.980848e-01,7.487395e-01,-7.195735e-01,6.254632e-01,-3.832495e-01,8.702147e-01,-2.653382e-01,7.128749e-01,2.557815e-03,7.956080e-01,-3.588901e-01,6.829446e-01,-1.068942e-01,7.972016e-01,-7.574158e-01,5.758486e-01,-4.553603e-01,8.633228e-01,-8.242245e-01,3.559263e-01,-6.654913e-01,6.948294e-01,-7.086366e-01,-2.107508e-02,-6.763598e-01,2.673403e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.635212e-01,-4.468134e-01,-5.648272e-01,-5.281133e-01,5.107290e-01,5.773762e-01,3.929738e-01,6.375739e-01
71,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-9.500225e-02,6.500866e-02,-6.605883e-01,-4.441378e-01,-1.111761e-01,7.441502e-01,-7.632007e-01,3.549514e-01,6.759407e-02,4.593703e-02,-3.473115e-01,5.389639e-01,-3.445876e-01,8.287525e-01,7.902380e-03,-1.028336e-02,-1.368297e-02,-1.190285e-02,5.081459e-01,5.746706e-01,-3.443026e-01,8.287535e-01,-3.442097e-01,8.287903e-01,-7.638987e-01,3.541170e-01,-4.724463e-02,-7.977246e-02,1.312107e-02,1.341896e-02,-5.619176e-01,-5.254499e-01,8.203745e-02,7.427949e-02,-7.511990e-01,3.748875e-01,-7.909250e-02,-5.382234e-02,-1.093846e-01,-9.162045e-02,-3.451270e-01,8.290400e-01,-7.638211e-01,3.547814e-01,-6.494702e-01,7.979324e-02,-7.722383e-01,3.529511e-01,-1.405009e-02,6.741451e-03,2.969940e-02,7.173127e-02,-8.338150e-02,-6.581045e-02,-3.505354e-01,8.305296e-01,-7.639010e-01,3.540963e-01,-3.473542e-01,8.258423e-01,-7.638381e-01,3.545192e-01,3.901543e-01,6.346166e-01,-7.063593e-01,6.534864e-02,-6.315184e-01,3.620826e-01,-8.101827e-01,4.169153e-01,-5.980848e-01,7.487395e-01,-7.195735e-01,6.254632e-01,-3.832495e-01,8.702147e-01,-2.653382e-01,7.128749e-01,2.557815e-03,7.956080e-01,-3.588901e-01,6.829446e-01,-1.068942e-01,7.972016e-01,-7.574158e-01,5.758486e-01,-4.553603e-01,8.633228e-01,-8.242245e-01,3.559263e-01,-6.654913e-01,6.948294e-01,-7.086366e-01,-2.107508e-02,-6.763598e-01,2.673403e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.635212e-01,-4.468134e-01,-5.648272e-01,-5.281133e-01,5.107290e-01,5.773762e-01,3.929738e-01,6.375739e-01
72,-1,-1,-2,-2,1,1,1,1,-1,-1,2,2,2,2,-1,-1,-1,-1,-2,-2,1,1,1,1,2,2,-2,-2,-1,-1,-2,-2,-2,-2,1,1,-1,-1,-1,-1,2,2,1,1,2,2,1,1,-1,-1,-2,-2,-2,-2,1,1,2,2,2,2,2,2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.377938e-01,1.762473e-01,-5.647608e-01,-3.604117e-01,-1.026723e-01,7.157843e-01,-7.137982e-01,3.100778e-01,1.034131e-01,9.944199e-02,-3.820274e-01,6.579614e-01,-3.428418e-01,8.276258e-01,7.077758e-02,6.359030e-02,6.281856e-02,5.869842e-02,4.128489e-01,4.652842e-01,-3.412016e-01,8.059841e-01,-3.419996e-01,8.095439e-01,-7.639044e-01,3.545157e-01,1.776832e-01,1.402440e-01,-5.528389e-02,-6.178206e-02,-4.858575e-01,-4.304762e-01,-1.298093e-01,-9.543481e-02,-7.083249e-01,3.330989e-01,-1.104842e-01,-9.207914e-02,-2.521216e-01,-7.049578e-02,-3.448913e-01,8.284234e-01,-7.264766e-01,3.350618e-01,-7.000960e-01,1.783527e-01,-7.265867e-01,3.088085e-01,-6.790945e-02,-6.204371e-02,-1.994475e-01,-1.519653e-01,1.249218e-01,9.842817e-02,-3.452374e-01,8.109226e-01,-7.643024e-01,3.560655e-01,-3.443041e-01,8.405418e-01,-7.656479e-01,3.546778e-01,2.957935e-01,5.520909e-01,-6.758522e-01,7.612017e-02,-6.027042e-01,3.412953e-01,-7.546480e-01,3.618597e-01,-5.518325e-01,6.977036e-01,-6.154245e-01,5.569597e-01,-3.484262e-01,8.331227e-01,-2.494954e-01,6.512349e-01,-1.975538e-02,7.851119e-01,-3.266759e-01,5.848808e-01,-1.361671e-01,7.821633e-01,-6.680107e-01,4.778810e-01,-4.439862e-01,7.931672e-01,-7.376806e-01,2.747486e-01,-5.945337e-01,6.259612e-01,-6.557066e-01,-3.184220e-02,-6.354231e-01,2.282638e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-5.672765e-01,-3.626664e-01,-4.884507e-01,-4.327740e-01,4.152522e-01,4.678241e-01,2.984107e-01,5.548460e-01
73,0,0,-2,-2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-2,-2,0,0,0,0,2,2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,-2,-2,-2,-2,0,0,2,2,2,2,2,2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.491803e-01,8.049444e-01,-4.760454e-01,-2.654422e-01,-1.406478e-02,5.831769e-01,-6.763221e-01,2.687705e-01,-3.553445e-01,8.066662e-01,-3.457357e-01,8.454818e-01,-3.468057e-01,8.288672e-01,-4.016805e-01,8.057246e-01,-3.837433e-01,4.723618e-01,3.121266e-01,3.616956e-01,-3.469278e-01,7.930764e-01,-3.567689e-01,8.056881e-01,-7.635852e-01,3.552118e-01,3.671246e-01,4.670943e-01,-6.342772e-01,1.487970e-01,-3.571338e-01,-3.386419e-01,-4.598154e-01,-2.431999e-01,-6.458043e-01,3.093000e-01,-6.759565e-01,2.912474e-01,-6.737632e-01,2.757394e-01,-3.439716e-01,8.286850e-01,-6.884979e-01,3.195134e-01,-7.474196e-01,3.134014e-01,-6.687366e-01,2.866263e-01,-6.904249e-01,3.528546e-01,-5.258409e-01,-3.508078e-01,2.815940e-01,3.479384e-01,-2.717568e-01,7.857595e-01,-7.644039e-01,3.572238e-01,-3.436543e-01,8.298490e-01,-7.670648e-01,3.549192e-01,1.727207e-01,4.563436e-01,-6.360416e-01,1.082748e-01,-4.770426e-01,2.667394e-01,-6.609411e-01,3.356461e-01,-4.402966e-01,5.607619e-01,-5.750350e-01,5.019087e-01,-3.591636e-01,7.787998e-01,-1.863890e-01,5.732020e-01,-5.601994e-02,7.837545e-01,-2.853576e-01,5.382404e-01,-1.854439e-01,7.701000e-01,-6.395757e-01,4.340685e-01,-4.416112e-01,6.935415e-01,-6.595504e-01,2.941071e-01,-5.007713e-01,5.178495e-01,-6.512753e-01,4.983138e-03,-5.821139e-01,1.959784e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-4.782130e-01,-2.673879e-01,-3.593617e-01,-3.405810e-01,3.143218e-01,3.640386e-01,1.751585e-01,4.589011e-01
74,1,1,-2,-2,-1,-1,-1,-1,1,1,2,2,2,2,1,1,1,1,-2,-2,-1,-1,-1,-1,2,2,-2,-2,1,1,-2,-2,-2,-2,-1,-1,1,1,1,1,2,2,-1,-1,2,2,-1,-1,1,1,-2,-2,-2,-2,-1,-1,2,2,2,2,2,2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.446668e-01,8.116280e-01,-1.321165e-01,-1.058440e-01,1.051103e-01,1.311184e-01,-1.101374e-01,-8.259965e-02,-3.446803e-01,8.189080e-01,-3.454503e-01,8.353302e-01,-1.402845e-01,7.490911e-01,-3.942094e-01,8.086935e-01,-3.638032e-01,4.673584e-01,1.266513e-01,1.063356e-01,1.064210e-01,2.688164e-01,1.210140e-01,1.242779e-01,-7.705138e-01,3.538136e-01,4.611519e-01,5.585596e-01,-6.367820e-01,1.372101e-01,-7.058372e-02,-1.199167e-01,-5.487950e-01,-3.306447e-01,-3.640705e-01,-5.377713e-02,-7.196901e-01,3.284826e-01,-7.168278e-01,3.129917e-01,-3.527074e-01,8.309108e-01,-1.678920e-01,1.415184e-01,-7.548146e-01,3.320490e-01,-1.198054e-01,-1.023329e-01,-7.324316e-01,3.860877e-01,-6.022400e-01,-4.399693e-01,3.820727e-01,4.197194e-01,1.210835e-01,1.210279e-01,-7.637168e-01,3.564159e-01,-3.442900e-01,8.295273e-01,-5.979730e-01,3.739698e-01,6.123541e-02,1.140372e-01,-7.593720e-02,-7.972500e-02,-6.698721e-02,-7.515606e-02,-6.616976e-03,-1.162158e-02,-1.012487e-04,-9.928949e-03,4.880205e-02,4.357058e-02,5.475805e-02,4.958337e-02,1.867755e-01,1.681043e-01,1.815344e-01,1.901947e-01,8.471807e-02,8.190822e-02,6.156611e-02,8.776483e-02,-9.001521e-03,-1.658800e-03,-2.524397e-02,1.023840e-02,-5.734917e-02,-4.867069e-02,-7.411158e-02,-3.794460e-02,-1.686321e-01,-1.468328e-01,-1.785370e-01,-1.389377e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-1.334976e-01,-1.069609e-01,-7.211607e-02,-1.211028e-01,1.276739e-01,1.075827e-01,6.241566e-02,1.153665e-01
75,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3.453634e-01,8.293356e-01,8.657761e-02,6.846378e-02,1.075986e-01,1.093032e-01,-8.857174e-02,-8.337265e-02,-3.488391e-01,8.387046e-01,-3.447036e-01,8.288737e-01,-9.408281e-02,7.291664e-01,-3.997131e-01,8.114018e-01,-3.524547e-01,4.707595e-01,-8.952826e-02,-6.636669e-02,1.081156e-01,1.600135e-01,9.705543e-02,9.988831e-02,-7.654893e-01,3.545419e-01,5.404061e-01,6.378093e-01,-6.417180e-01,1.252423e-01,1.059486e-01,9.963256e-02,-6.327840e-01,-4.106892e-01,-3.078026e-01,-1.284814e-01,-7.673561e-01,3.731923e-01,-7.640280e-01,3.563963e-01,-3.551312e-01,8.319490e-01,-6.696168e-02,1.081346e-01,-7.639109e-01,3.552870e-01,-1.002709e-01,-9.257803e-02,-7.658706e-01,4.217654e-01,-6.869164e-01,-5.255664e-01,4.706445e-01,4.856890e-01,9.831745e-02,9.629748e-02,-7.635673e-01,3.551781e-01,-3.444915e-01,8.287681e-01,-5.224910e-01,3.615463e-01,-1.115347e-01,-1.026758e-01,2.792042e-02,2.261048e-02,3.438929e-02,3.187281e-02,1.528260e-02,1.258175e-02,1.787573e-02,1.708700e-02,2.027213e-02,1.615955e-02,2.076875e-02,2.192452e-02,9.698329e-02,7.376189e-02,8.488978e-02,1.008023e-01,-2.751651e-02,-2.203825e-02,-3.589773e-02,-3.218577e-02,-1.474673e-02,-1.245385e-02,-1.861473e-02,-1.684764e-02,-1.973892e-02,-1.619668e-02,-2.127557e-02,-2.154551e-02,-9.537243e-02,-7.302359e-02,-8.440007e-02,-9.927300e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,8.578879e-02,6.791534e-02,1.050098e-01,9.904723e-02,-8.919810e-02,-6.578638e-02,-1.110430e-01,-1.020465e-01
