Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vou_1A_dH,Vou_1B_dH,Vou_1A_dL,Vou_1B_dL
-1,1,-1,1,-0.7030985,0.7032666,-0.8194866,0.3386572
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7030929,0.7032702,-0.8194859,0.3386643
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7031306,0.7032484,-0.8194903,0.3386249
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7031776,0.7032165,-0.8194965,0.3385669
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7033758,0.7032756,-0.8194907,0.3386856
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.367603,-0.8268059,0.6967553,-0.7163768
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.3675346,-0.8268088,0.6967274,-0.7163998
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.3675015,-0.8268094,0.6967155,-0.7164098
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.3675778,-0.8268078,0.6967431,-0.7163877
1,-1,1,-1,0.3675778,-0.8268078,0.6967431,-0.7163877
