#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,driver_0019a,driver_0019b,driver_0020a,driver_0020b,Out_0006a,Out_0006b,Out_0010a,Out_0010b
63,0,0,2,2,0,0,0,0,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.097611e-01,2.781206e-01,-3.532089e-01,8.316941e-01,-7.016017e-03,5.510915e-01,-6.776160e-01,3.318465e-01,9.836751e-02,1.047147e-01,-7.465361e-01,3.141709e-01,-7.759172e-01,3.551991e-01,-7.275534e-02,8.713787e-02,-1.340463e-01,-9.339488e-02,-3.448958e-01,8.450407e-01,-2.671012e-01,7.714179e-01,-3.423160e-02,8.746011e-02,-6.533030e-01,3.215671e-01,-1.371287e-02,5.841249e-01,-2.167380e-01,4.866387e-01,-6.131697e-01,7.564297e-02,-6.742111e-01,2.790169e-01,-3.466788e-01,8.025326e-01,-6.676681e-01,2.735378e-01,-3.456846e-01,8.052719e-01,-6.845020e-01,2.983703e-01,-3.567624e-01,7.896412e-01,-6.088011e-01,1.121196e-01,-3.194289e-01,4.691119e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.465746e-01,3.141280e-01,-3.449079e-01,8.450229e-01
64,-1,-1,2,2,-1,-1,-1,-1,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-1,-1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.315286e-01,-7.630845e-02,-1.401550e-01,7.497873e-01,1.306425e-01,1.202187e-01,-1.696974e-01,1.421716e-01,9.176030e-02,7.648134e-02,-7.614794e-01,3.303036e-01,-5.985514e-01,3.751493e-01,-9.075200e-02,-6.221290e-02,-1.207009e-01,-9.708792e-02,-3.536765e-01,8.373029e-01,1.058766e-01,2.683789e-01,-4.470754e-02,8.292901e-02,-7.139519e-01,3.470271e-01,-9.401233e-02,6.809580e-01,-2.853222e-01,4.909401e-01,-6.219688e-01,6.327746e-02,-7.160855e-01,3.115302e-01,-3.439229e-01,8.111753e-01,-7.140647e-01,3.088667e-01,-3.414354e-01,8.125396e-01,-7.250115e-01,3.266407e-01,-3.510183e-01,7.922844e-01,-6.193843e-01,9.384121e-02,-3.034370e-01,4.687570e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.615171e-01,3.302611e-01,-3.536881e-01,8.372854e-01
65,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.762052e-02,-8.295851e-02,-9.430288e-02,7.291826e-01,9.569627e-02,9.920783e-02,-6.676546e-02,1.082167e-01,8.918361e-02,9.311364e-02,-7.655123e-01,3.544392e-01,-5.225033e-01,3.615183e-01,-9.234917e-02,-9.007299e-02,-1.121504e-01,-9.621242e-02,-3.553360e-01,8.319519e-01,1.077327e-01,1.598590e-01,-9.980760e-02,7.470237e-02,-7.519226e-01,3.761017e-01,-1.130353e-01,7.466786e-01,-3.659728e-01,5.543617e-01,-6.653999e-01,8.778065e-02,-7.636021e-01,3.549742e-01,-3.448193e-01,8.287771e-01,-7.638747e-01,3.545847e-01,-3.453650e-01,8.296014e-01,-7.655448e-01,3.601474e-01,-3.493194e-01,8.106833e-01,-6.417079e-01,8.664891e-02,-3.072446e-01,4.861819e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.655229e-01,3.544173e-01,-3.553143e-01,8.319578e-01
66,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-8.762053e-02,-8.295852e-02,-9.430288e-02,7.291826e-01,9.569625e-02,9.920781e-02,-6.676547e-02,1.082167e-01,8.918352e-02,9.311360e-02,-7.655123e-01,3.544392e-01,-5.225033e-01,3.615183e-01,-9.234922e-02,-9.007302e-02,-1.121508e-01,-9.621249e-02,-3.553360e-01,8.319519e-01,1.077327e-01,1.598590e-01,-9.980946e-02,7.470210e-02,-7.519226e-01,3.761016e-01,-1.130352e-01,7.466798e-01,-3.659753e-01,5.543639e-01,-6.654013e-01,8.778204e-02,-7.636021e-01,3.549742e-01,-3.448193e-01,8.287771e-01,-7.638747e-01,3.545847e-01,-3.453650e-01,8.296015e-01,-7.655448e-01,3.601474e-01,-3.493194e-01,8.106830e-01,-6.417074e-01,8.664847e-02,-3.072439e-01,4.861812e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.655229e-01,3.544173e-01,-3.553143e-01,8.319578e-01
67,-2,-2,1,1,-2,-2,-2,-2,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,-2,-2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.000653e-02,-8.212348e-02,-7.361982e-02,6.774470e-01,7.948844e-02,9.979024e-02,-7.162779e-02,6.953110e-02,1.100719e-01,1.325109e-01,-7.166226e-01,3.373140e-01,-4.566814e-01,2.929978e-01,-1.064398e-01,-1.250516e-01,-2.514924e-01,-7.162161e-02,-3.411565e-01,8.052632e-01,1.083479e-01,1.576988e-01,-1.340173e-01,1.815372e-01,-7.523229e-01,3.782328e-01,-1.107919e-01,7.570420e-01,-3.877226e-01,6.617691e-01,-7.102938e-01,1.787259e-01,-7.667747e-01,3.546549e-01,-3.438784e-01,8.277247e-01,-7.638159e-01,3.545817e-01,-3.455781e-01,8.296771e-01,-7.655341e-01,3.601632e-01,-3.492970e-01,8.106889e-01,-6.417128e-01,8.666926e-02,-3.072477e-01,4.861998e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.166034e-01,3.372614e-01,-3.411979e-01,8.050925e-01
68,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.367239e-01,-9.384988e-02,-7.368140e-03,5.509727e-01,-3.765608e-02,8.639171e-02,-7.300074e-02,8.689307e-02,-3.003004e-01,4.830812e-01,-6.774416e-01,3.315789e-01,-4.099130e-01,2.778809e-01,-5.960342e-01,8.310540e-02,-6.902892e-01,3.006918e-01,-2.674786e-01,7.713476e-01,9.785219e-02,1.046780e-01,-3.588596e-01,7.846581e-01,-7.518629e-01,3.775764e-01,-1.105171e-01,7.454299e-01,-3.514811e-01,8.527867e-01,-7.531145e-01,3.040006e-01,-7.754192e-01,3.524042e-01,-3.546175e-01,8.306528e-01,-7.630959e-01,3.546467e-01,-3.455957e-01,8.296865e-01,-7.655596e-01,3.601547e-01,-3.493014e-01,8.106809e-01,-6.417098e-01,8.665835e-02,-3.072482e-01,4.861879e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.775877e-01,3.315879e-01,-2.677440e-01,7.710296e-01
69,-2,-2,-1,-1,-2,-2,-2,-2,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-2,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.209235e-01,-9.694491e-02,1.305151e-01,1.200777e-01,-4.458390e-02,8.293946e-02,-9.066701e-02,-6.217971e-02,-2.965726e-01,4.938178e-01,-1.697788e-01,1.420362e-01,-1.315493e-01,-7.632427e-02,-6.114748e-01,6.489653e-02,-7.246445e-01,3.250065e-01,1.056318e-01,2.683791e-01,9.169399e-02,7.639647e-02,-3.512936e-01,7.942272e-01,-7.516085e-01,3.760036e-01,-1.110350e-01,7.449211e-01,-3.518277e-01,8.397549e-01,-7.622758e-01,3.265253e-01,-5.983049e-01,3.736804e-01,-1.409421e-01,7.490660e-01,-7.705690e-01,3.532305e-01,-3.538761e-01,8.318146e-01,-7.651386e-01,3.601766e-01,-3.496599e-01,8.106729e-01,-6.417007e-01,8.657723e-02,-3.072584e-01,4.860800e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-1.698718e-01,1.420517e-01,1.053385e-01,2.680716e-01
70,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.111996e-01,-9.601313e-02,9.559059e-02,9.906341e-02,-9.441307e-02,7.537578e-02,-9.224226e-02,-9.002799e-02,-3.515236e-01,5.464612e-01,-6.677701e-02,1.082449e-01,-8.761063e-02,-8.296580e-02,-6.513690e-01,8.385073e-02,-7.630539e-01,3.545510e-01,1.075615e-01,1.597913e-01,8.928608e-02,9.306862e-02,-3.463513e-01,8.281056e-01,-7.513177e-01,3.745872e-01,-1.114927e-01,7.441334e-01,-3.511699e-01,8.307513e-01,-7.723202e-01,3.525876e-01,-5.226532e-01,3.615215e-01,-9.470459e-02,7.292402e-01,-7.655439e-01,3.541425e-01,-3.561017e-01,8.327779e-01,-7.652711e-01,3.603108e-01,-3.493462e-01,8.106565e-01,-6.417314e-01,8.666459e-02,-3.072549e-01,4.861585e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.682673e-02,1.082713e-01,1.072329e-01,1.594852e-01
71,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.111998e-01,-9.601316e-02,9.559059e-02,9.906341e-02,-9.441386e-02,7.537567e-02,-9.224228e-02,-9.002800e-02,-3.515247e-01,5.464622e-01,-6.677696e-02,1.082453e-01,-8.761063e-02,-8.296578e-02,-6.513695e-01,8.385131e-02,-7.630539e-01,3.545509e-01,1.075615e-01,1.597914e-01,8.928604e-02,9.306861e-02,-3.463512e-01,8.281060e-01,-7.513177e-01,3.745872e-01,-1.114927e-01,7.441334e-01,-3.511699e-01,8.307512e-01,-7.723202e-01,3.525876e-01,-5.226537e-01,3.615220e-01,-9.470484e-02,7.292404e-01,-7.655441e-01,3.541425e-01,-3.561016e-01,8.327779e-01,-7.652710e-01,3.603108e-01,-3.493462e-01,8.106565e-01,-6.417313e-01,8.666455e-02,-3.072548e-01,4.861584e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.682669e-02,1.082716e-01,1.072329e-01,1.594853e-01
72,-1,-1,-2,-2,-1,-1,-1,-1,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.515985e-01,-7.164097e-02,7.937477e-02,9.965813e-02,-1.341996e-01,1.814214e-01,-1.064802e-01,-1.251063e-01,-3.803839e-01,6.590531e-01,-7.164834e-02,6.955581e-02,-6.003629e-02,-8.215515e-02,-6.997688e-01,1.792743e-01,-7.648633e-01,3.567421e-01,1.082264e-01,1.577026e-01,1.099451e-01,1.323738e-01,-3.425858e-01,8.394730e-01,-7.075773e-01,3.307121e-01,-1.030920e-01,7.146812e-01,-3.454143e-01,8.062732e-01,-7.374499e-01,3.316837e-01,-4.576972e-01,2.951512e-01,-7.396873e-02,6.785144e-01,-7.043369e-01,3.107815e-01,-3.416793e-01,8.121017e-01,-7.259219e-01,3.264526e-01,-3.515493e-01,7.923892e-01,-6.193170e-01,9.385093e-02,-3.035216e-01,4.687627e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.169072e-02,6.958872e-02,1.079013e-01,1.574058e-01
73,0,0,-2,-2,0,0,0,0,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.908862e-01,3.005108e-01,-3.785682e-02,8.627790e-02,-3.590382e-01,7.845577e-01,-5.959508e-01,8.314367e-02,-3.452954e-01,8.511091e-01,-7.315041e-02,8.593931e-02,-1.367639e-01,-9.390558e-02,-7.438202e-01,3.058394e-01,-7.739842e-01,3.550674e-01,9.777322e-02,1.045138e-01,-3.005626e-01,4.829466e-01,-3.540286e-01,8.320584e-01,-6.425796e-01,3.018110e-01,-1.483945e-02,5.799962e-01,-2.712535e-01,7.702027e-01,-6.885282e-01,3.270981e-01,-4.132229e-01,2.855098e-01,-7.051290e-03,5.537341e-01,-6.539764e-01,2.841268e-01,-2.683947e-01,7.896070e-01,-6.937213e-01,2.935069e-01,-3.666625e-01,7.931856e-01,-6.060210e-01,1.133392e-01,-3.182527e-01,4.683911e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.317811e-02,8.598437e-02,9.747582e-02,1.042265e-01
74,1,1,-2,-2,1,1,1,1,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-7.249282e-01,3.248461e-01,-4.494898e-02,8.246124e-02,-3.518089e-01,7.941978e-01,-6.114289e-01,6.465390e-02,-3.538568e-01,8.402648e-01,-9.130356e-02,-6.353970e-02,-1.210852e-01,-9.733764e-02,-7.606169e-01,3.271523e-01,-5.996836e-01,3.753090e-01,9.108169e-02,7.577359e-02,-2.969163e-01,4.934792e-01,-1.395870e-01,7.497955e-01,-3.790707e-01,-1.016726e-02,1.064959e-01,1.444918e-01,1.035769e-01,2.687456e-01,-1.977199e-01,1.546078e-01,-1.290174e-01,-1.004063e-01,1.291560e-01,1.154573e-01,-1.079282e-01,-1.061183e-01,1.188884e-01,1.185923e-01,-1.059880e-01,-1.058216e-01,1.181875e-01,1.170637e-01,-1.001273e-01,-1.008334e-01,1.119958e-01,1.019861e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-9.138479e-02,-6.350353e-02,9.058393e-02,7.551576e-02
75,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.634260e-01,3.544084e-01,-9.425048e-02,7.454540e-02,-3.467733e-01,8.276819e-01,-6.510466e-01,8.278746e-02,-3.557224e-01,8.321036e-01,-9.353138e-02,-9.217380e-02,-1.114237e-01,-9.681041e-02,-7.659855e-01,3.538134e-01,-5.247954e-01,3.619348e-01,8.792516e-02,9.090708e-02,-3.510586e-01,5.452413e-01,-9.500114e-02,7.293996e-01,-3.043878e-01,-1.209886e-01,1.103710e-01,1.148119e-01,1.116511e-01,1.608747e-01,-7.712696e-02,1.056808e-01,-9.149488e-02,-9.107652e-02,9.194882e-02,9.232416e-02,-9.070835e-02,-9.019760e-02,9.234719e-02,9.203163e-02,-8.919141e-02,-8.670350e-02,9.110670e-02,8.860780e-02,-7.957291e-02,-5.942531e-02,8.132457e-02,6.017139e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-9.362540e-02,-9.211276e-02,8.740736e-02,9.065650e-02
76,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.634257e-01,3.544078e-01,-9.425925e-02,7.454409e-02,-3.467728e-01,8.276871e-01,-6.510529e-01,8.279394e-02,-3.557224e-01,8.321034e-01,-9.353160e-02,-9.217393e-02,-1.114257e-01,-9.681077e-02,-7.659854e-01,3.538135e-01,-5.247953e-01,3.619347e-01,8.792474e-02,9.090689e-02,-3.510700e-01,5.452516e-01,-9.500108e-02,7.293995e-01,-3.043878e-01,-1.209886e-01,1.103710e-01,1.148119e-01,1.116511e-01,1.608747e-01,-7.712698e-02,1.056807e-01,-9.149496e-02,-9.107658e-02,9.194872e-02,9.232410e-02,-9.070839e-02,-9.019762e-02,9.234716e-02,9.203160e-02,-8.919143e-02,-8.670351e-02,9.110668e-02,8.860779e-02,-7.957292e-02,-5.942532e-02,8.132456e-02,6.017138e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-9.362558e-02,-9.211287e-02,8.740701e-02,9.065634e-02
77,2,2,-1,-1,2,2,2,2,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.671176e-01,3.562689e-01,-1.347497e-01,1.808158e-01,-3.432314e-01,8.394396e-01,-6.997483e-01,1.788641e-01,-3.416258e-01,8.049702e-01,-1.070746e-01,-1.269901e-01,-2.517702e-01,-7.222012e-02,-7.166105e-01,3.368678e-01,-4.582562e-01,2.919223e-01,1.089956e-01,1.301808e-01,-3.809508e-01,6.588618e-01,-7.395160e-02,6.773007e-01,-3.052981e-01,-1.230574e-01,1.101915e-01,1.145934e-01,1.115638e-01,1.583771e-01,-8.324842e-02,6.533222e-02,-6.250804e-02,-8.811696e-02,7.633056e-02,9.324035e-02,-8.953083e-02,-8.951605e-02,9.316672e-02,9.253611e-02,-8.875800e-02,-8.641278e-02,9.143356e-02,8.883282e-02,-7.936950e-02,-5.927704e-02,8.148423e-02,6.029022e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-1.071580e-01,-1.268964e-01,1.085670e-01,1.299647e-01
78,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.759764e-01,3.549179e-01,-3.599284e-01,7.840641e-01,-3.535454e-01,8.317564e-01,-7.437437e-01,3.053227e-01,-2.669219e-01,7.713136e-01,-5.956073e-01,8.242197e-02,-6.911849e-01,2.998385e-01,-6.773359e-01,3.315101e-01,-4.099417e-01,2.771436e-01,-3.030565e-01,4.809927e-01,-3.456967e-01,8.514426e-01,-5.857357e-03,5.496739e-01,-3.053913e-01,-1.228421e-01,1.097222e-01,1.130230e-01,1.045733e-01,1.055824e-01,-8.047222e-02,8.462140e-02,-1.389107e-01,-1.000202e-01,-4.207476e-02,8.109367e-02,-9.366574e-02,-9.140314e-02,8.938443e-02,9.080067e-02,-8.973496e-02,-8.696206e-02,9.052275e-02,8.831607e-02,-7.969838e-02,-5.948501e-02,8.117288e-02,6.009265e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-5.956127e-01,8.242340e-02,-3.034852e-01,4.808585e-01
79,2,2,1,1,2,2,2,2,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.987377e-01,3.748906e-01,-3.521425e-01,7.941563e-01,-1.403820e-01,7.497798e-01,-7.605873e-01,3.269431e-01,1.057876e-01,2.683644e-01,-6.113936e-01,6.448342e-02,-7.249988e-01,3.246739e-01,-1.700434e-01,1.420732e-01,-1.326530e-01,-7.638786e-02,-2.972673e-01,4.929837e-01,-3.542507e-01,8.403317e-01,1.311909e-01,1.202578e-01,-3.078646e-01,-1.284286e-01,1.078255e-01,1.097348e-01,9.847391e-02,7.841244e-02,-9.889050e-02,-6.468422e-02,-1.211582e-01,-9.762842e-02,-4.569726e-02,8.118202e-02,-9.293089e-02,-9.109787e-02,8.954253e-02,9.090832e-02,-8.958837e-02,-8.688526e-02,9.058880e-02,8.835549e-02,-7.965589e-02,-5.946066e-02,8.119608e-02,6.010605e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.113405e-01,6.451001e-02,-2.973628e-01,4.929021e-01
80,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.227531e-01,3.613312e-01,-3.467948e-01,8.276463e-01,-9.453213e-02,7.291946e-01,-7.656284e-01,3.539985e-01,1.079356e-01,1.599534e-01,-6.510271e-01,8.282564e-02,-7.634524e-01,3.544853e-01,-6.708360e-02,1.080859e-01,-8.866456e-02,-8.348020e-02,-3.510049e-01,5.451059e-01,-3.558232e-01,8.321620e-01,9.691870e-02,9.972706e-02,-3.078498e-01,-1.285367e-01,1.075282e-01,1.092212e-01,9.822062e-02,9.618268e-02,-1.003365e-01,-9.265568e-02,-1.113149e-01,-9.657000e-02,-9.430341e-02,7.429333e-02,-9.310449e-02,-9.136440e-02,8.746779e-02,9.004604e-02,-8.979425e-02,-8.702961e-02,9.016081e-02,8.811705e-02,-7.975691e-02,-5.953232e-02,8.105152e-02,6.001223e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.510421e-01,8.281061e-02,-3.510175e-01,5.451013e-01
81,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.225365e-01,3.613062e-01,-3.467615e-01,8.276577e-01,-9.432350e-02,7.291613e-01,-7.655832e-01,3.540485e-01,1.082255e-01,1.600608e-01,-6.510368e-01,8.285511e-02,-7.634505e-01,3.545086e-01,-6.678578e-02,1.081734e-01,-8.774671e-02,-8.296269e-02,-3.510127e-01,5.451345e-01,-3.557748e-01,8.321687e-01,9.780728e-02,1.002272e-01,-2.253448e-01,-1.175604e-01,1.896579e-01,1.199987e-01,1.018849e-01,9.787968e-02,-9.657067e-02,-9.090711e-02,-1.113153e-01,-9.656280e-02,-9.431500e-02,7.429816e-02,-9.309772e-02,-9.135847e-02,8.747349e-02,9.005125e-02,-8.978914e-02,-8.702524e-02,9.016534e-02,8.812094e-02,-7.975316e-02,-5.952908e-02,8.105485e-02,6.001510e-02,2.021276e-01,-9.831209e-02,2.021276e-01,-9.831209e-02,-6.510726e-01,8.282230e-02,-3.510440e-01,5.451128e-01
82,1,1,2,2,1,1,1,1,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,1,1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.566786e-01,2.928275e-01,-3.430928e-01,8.394414e-01,-7.361552e-02,6.775460e-01,-7.167152e-01,3.371993e-01,1.085707e-01,1.578102e-01,-6.997230e-01,1.790090e-01,-7.671505e-01,3.564484e-01,-7.168644e-02,6.946686e-02,-6.010606e-02,-8.217741e-02,-3.808031e-01,6.589244e-01,-3.414261e-01,8.049847e-01,8.010766e-02,1.001848e-01,-2.618691e-01,-7.031568e-02,1.982010e-01,1.207845e-01,1.194451e-01,1.327298e-01,-1.075034e-01,-1.246704e-01,-2.519135e-01,-7.085928e-02,-1.344079e-01,1.809920e-01,-1.133490e-01,-1.048951e-01,1.127856e-01,1.196651e-01,-1.061579e-01,-1.057010e-01,1.182201e-01,1.171620e-01,-1.000860e-01,-1.007717e-01,1.120588e-01,1.020476e-01,2.021276e-01,-9.831209e-02,2.021276e-01,-9.831209e-02,-6.998136e-01,1.789313e-01,-3.808707e-01,6.588697e-01
83,0,0,2,2,0,0,0,0,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.099294e-01,2.779685e-01,-3.532760e-01,8.316948e-01,-7.314920e-03,5.511924e-01,-6.775507e-01,3.318109e-01,9.772359e-02,1.046474e-01,-7.465374e-01,3.141416e-01,-7.759290e-01,3.551573e-01,-7.307086e-02,8.684859e-02,-1.345695e-01,-9.376248e-02,-3.449297e-01,8.450446e-01,-2.672282e-01,7.713685e-01,-4.165286e-02,8.580096e-02,-5.505988e-01,3.445815e-01,9.020424e-02,5.146097e-01,-2.064054e-01,4.772284e-01,-6.228285e-01,7.811271e-02,-6.742150e-01,2.789926e-01,-3.467016e-01,8.025375e-01,-6.676657e-01,2.735226e-01,-3.456985e-01,8.052746e-01,-6.845006e-01,2.983570e-01,-3.567728e-01,7.896436e-01,-6.088035e-01,1.121106e-01,-3.194387e-01,4.691111e-01,2.021276e-01,-9.831209e-02,2.021276e-01,-9.831209e-02,-7.465410e-01,3.141274e-01,-3.449025e-01,8.450591e-01
84,-1,-1,2,2,-1,-1,-1,-1,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-1,-1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.315988e-01,-7.632946e-02,-1.401857e-01,7.497832e-01,1.305485e-01,1.201674e-01,-1.697388e-01,1.421586e-01,9.159165e-02,7.637567e-02,-7.614826e-01,3.302837e-01,-5.985721e-01,3.751261e-01,-9.084043e-02,-6.227060e-02,-1.207433e-01,-9.719357e-02,-3.537004e-01,8.373037e-01,1.058306e-01,2.683587e-01,-4.489348e-02,8.268705e-02,-6.018105e-01,3.637458e-01,2.536303e-02,6.087678e-01,-2.639413e-01,4.867354e-01,-6.288590e-01,6.290932e-02,-7.160876e-01,3.115141e-01,-3.439405e-01,8.111775e-01,-7.140642e-01,3.088552e-01,-3.414479e-01,8.125411e-01,-7.250112e-01,3.266313e-01,-3.510278e-01,7.922856e-01,-6.193854e-01,9.383421e-02,-3.034451e-01,4.687545e-01,2.021276e-01,-9.831209e-02,2.021276e-01,-9.831209e-02,-7.614980e-01,3.302603e-01,-3.536860e-01,8.373083e-01
