#time,CK_0001a,CK_0001b,CK_0002a,CK_0002b,CK_0003a,CK_0003b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,Vout_0001a,Vout_0001b,Vout_0002a,Vout_0002b,Vout_0003a,Vout_0003b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,driver_0019a,driver_0019b,driver_0020a,driver_0020b,Out_0006a,Out_0006b,Out_0010a,Out_0010b
11,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.111979e-01,-9.598692e-02,9.561811e-02,9.908647e-02,-9.442948e-02,7.541389e-02,-9.221625e-02,-9.000412e-02,-3.515013e-01,5.465668e-01,-6.676203e-02,1.082501e-01,-8.758942e-02,-8.294744e-02,-6.513765e-01,8.394593e-02,-7.633716e-01,3.545817e-01,1.075800e-01,1.597991e-01,8.932340e-02,9.310105e-02,-3.459483e-01,8.280785e-01,-8.866645e-01,3.452850e-01,-2.309253e-01,7.869168e-01,-3.492388e-01,8.305720e-01,-7.624718e-01,3.537537e-01,-5.226349e-01,3.615242e-01,-9.468289e-02,7.292386e-01,-7.655392e-01,3.541525e-01,-3.560910e-01,8.327791e-01,-7.652698e-01,3.603176e-01,-3.493368e-01,8.106599e-01,-6.417332e-01,8.667512e-02,-3.072557e-01,4.861684e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.682970e-02,1.082606e-01,1.072293e-01,1.594744e-01
12,-1,-1,-2,-2,-1,-1,-1,-1,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.515826e-01,-7.156512e-02,7.941384e-02,9.969709e-02,-1.340740e-01,1.814858e-01,-1.064361e-01,-1.250555e-01,-3.801301e-01,6.591109e-01,-7.161824e-02,6.958071e-02,-6.000637e-02,-8.212070e-02,-6.998211e-01,1.794361e-01,-7.651621e-01,3.572449e-01,1.082579e-01,1.577163e-01,1.100095e-01,1.324331e-01,-3.401307e-01,8.388925e-01,-8.500114e-01,2.898935e-01,-2.344290e-01,7.848791e-01,-3.502734e-01,8.096498e-01,-7.219902e-01,3.339157e-01,-4.576795e-01,2.951742e-01,-7.393992e-02,6.785146e-01,-7.043358e-01,3.107998e-01,-3.416595e-01,8.120994e-01,-7.259226e-01,3.264667e-01,-3.515352e-01,7.923876e-01,-6.193157e-01,9.386133e-02,-3.035103e-01,4.687666e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.169607e-02,6.958353e-02,1.078915e-01,1.573871e-01
13,0,0,-2,-2,0,0,0,0,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.907749e-01,3.007733e-01,-3.768087e-02,8.636894e-02,-3.586578e-01,7.845589e-01,-5.960320e-01,8.316598e-02,-3.446137e-01,8.510026e-01,-7.309130e-02,8.599748e-02,-1.367148e-01,-9.384070e-02,-7.445641e-01,3.062765e-01,-7.655022e-01,3.583299e-01,9.783552e-02,1.045231e-01,-3.003272e-01,4.830720e-01,-3.421664e-01,8.289360e-01,-8.129710e-01,2.414536e-01,-2.368355e-01,7.868699e-01,-3.580791e-01,7.982155e-01,-6.859246e-01,3.168855e-01,-4.131952e-01,2.855608e-01,-7.002819e-03,5.537482e-01,-6.539970e-01,2.841497e-01,-2.683654e-01,7.896146e-01,-6.937156e-01,2.935390e-01,-3.666324e-01,7.931769e-01,-6.060187e-01,1.133564e-01,-3.182345e-01,4.683931e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.319110e-02,8.598356e-02,9.744738e-02,1.041720e-01
14,1,1,-2,-2,1,1,1,1,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-7.249249e-01,3.248415e-01,-4.494292e-02,8.246778e-02,-3.518152e-01,7.942005e-01,-6.114272e-01,6.465826e-02,-3.539088e-01,8.402676e-01,-9.129852e-02,-6.353585e-02,-1.210829e-01,-9.733287e-02,-7.606087e-01,3.271157e-01,-5.999037e-01,3.751419e-01,9.108796e-02,7.577867e-02,-2.969113e-01,4.934854e-01,-1.399257e-01,7.498315e-01,-5.137353e-01,-1.638333e-02,-1.855134e-02,1.719526e-01,9.945819e-02,2.690654e-01,-1.971675e-01,1.535843e-01,-1.290122e-01,-1.004030e-01,1.291619e-01,1.154616e-01,-1.079248e-01,-1.061153e-01,1.188924e-01,1.185959e-01,-1.059852e-01,-1.058190e-01,1.181908e-01,1.170669e-01,-1.001250e-01,-1.008304e-01,1.119986e-01,1.019893e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.138483e-02,-6.350492e-02,9.058417e-02,7.551455e-02
15,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.634220e-01,3.543088e-01,-9.423271e-02,7.452559e-02,-3.469393e-01,8.276593e-01,-6.510276e-01,8.270061e-02,-3.559842e-01,8.320549e-01,-9.355121e-02,-9.219038e-02,-1.114246e-01,-9.683253e-02,-7.664130e-01,3.535306e-01,-5.270282e-01,3.624693e-01,8.790544e-02,9.089020e-02,-3.510698e-01,5.451677e-01,-9.709202e-02,7.298498e-01,-4.166068e-01,-1.358025e-01,-2.889935e-03,1.000138e-01,1.066925e-01,1.593411e-01,-8.201330e-02,1.044910e-01,-9.150857e-02,-9.108781e-02,9.193478e-02,9.231254e-02,-9.071769e-02,-9.020536e-02,9.233757e-02,9.202362e-02,-8.919790e-02,-8.670895e-02,9.110000e-02,8.860216e-02,-7.957753e-02,-5.942927e-02,8.131979e-02,6.016730e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.361770e-02,-9.210961e-02,8.741553e-02,9.066045e-02
16,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.634216e-01,3.543082e-01,-9.424220e-02,7.452416e-02,-3.469387e-01,8.276650e-01,-6.510344e-01,8.270763e-02,-3.559842e-01,8.320547e-01,-9.355144e-02,-9.219053e-02,-1.114268e-01,-9.683292e-02,-7.664130e-01,3.535307e-01,-5.270280e-01,3.624691e-01,8.790498e-02,9.088999e-02,-3.510821e-01,5.451788e-01,-9.709196e-02,7.298497e-01,-4.166068e-01,-1.358026e-01,-2.889939e-03,1.000138e-01,1.066925e-01,1.593410e-01,-8.201332e-02,1.044909e-01,-9.150866e-02,-9.108787e-02,9.193467e-02,9.231247e-02,-9.071772e-02,-9.020538e-02,9.233753e-02,9.202359e-02,-8.919791e-02,-8.670897e-02,9.109998e-02,8.860216e-02,-7.957754e-02,-5.942927e-02,8.131978e-02,6.016729e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.361790e-02,-9.210973e-02,8.741514e-02,9.066027e-02
17,2,2,-1,-1,2,2,2,2,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.670693e-01,3.561797e-01,-1.347840e-01,1.807973e-01,-3.433569e-01,8.394311e-01,-6.997585e-01,1.788135e-01,-3.421284e-01,8.050529e-01,-1.070886e-01,-1.270058e-01,-2.517764e-01,-7.224479e-02,-7.166080e-01,3.365775e-01,-4.595347e-01,2.911601e-01,1.089772e-01,1.301638e-01,-3.810244e-01,6.588477e-01,-7.557890e-02,6.775353e-01,-4.175390e-01,-1.379077e-01,-3.098272e-03,9.977548e-02,1.066008e-01,1.568407e-01,-8.829603e-02,6.306343e-02,-6.251724e-02,-8.812743e-02,7.631955e-02,9.322930e-02,-8.953989e-02,-8.952371e-02,9.315730e-02,9.252818e-02,-8.876447e-02,-8.641825e-02,9.142688e-02,8.882717e-02,-7.937415e-02,-5.928103e-02,8.147943e-02,6.028609e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-1.071441e-01,-1.268904e-01,1.085783e-01,1.299691e-01
18,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-7.760338e-01,3.548017e-01,-3.599708e-01,7.840784e-01,-3.537402e-01,8.317629e-01,-7.437421e-01,3.052634e-01,-2.675068e-01,7.711362e-01,-5.956073e-01,8.240225e-02,-6.911913e-01,2.997962e-01,-6.769320e-01,3.314310e-01,-4.111501e-01,2.761627e-01,-3.030800e-01,4.809930e-01,-3.457707e-01,8.514528e-01,-7.567684e-03,5.503211e-01,-4.176364e-01,-1.377067e-01,-3.557596e-03,9.823874e-02,9.974203e-02,1.049014e-01,-8.559346e-02,8.184160e-02,-1.389132e-01,-1.000292e-01,-4.208627e-02,8.108331e-02,-9.367425e-02,-9.141054e-02,8.937547e-02,9.079302e-02,-8.974129e-02,-8.696745e-02,9.051624e-02,8.831053e-02,-7.970298e-02,-5.948897e-02,8.116815e-02,6.008858e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-5.955860e-01,8.242542e-02,-3.034783e-01,4.808793e-01
19,2,2,1,1,2,2,2,2,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,2,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.988543e-01,3.747930e-01,-3.521893e-01,7.941543e-01,-1.405088e-01,7.497577e-01,-7.605968e-01,3.268814e-01,1.054318e-01,2.682192e-01,-6.113870e-01,6.446606e-02,-7.250053e-01,3.246392e-01,-1.704326e-01,1.420301e-01,-1.340577e-01,-7.660227e-02,-2.972901e-01,4.929675e-01,-3.543306e-01,8.403366e-01,1.297724e-01,1.197627e-01,-4.201204e-01,-1.432427e-01,-5.524879e-03,9.487710e-02,9.340953e-02,7.626137e-02,-1.039118e-01,-6.666874e-02,-1.211626e-01,-9.763833e-02,-4.571014e-02,8.117052e-02,-9.294001e-02,-9.110572e-02,8.953283e-02,9.090015e-02,-8.959504e-02,-8.689093e-02,9.058191e-02,8.834965e-02,-7.966073e-02,-5.946482e-02,8.119111e-02,6.010177e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.113051e-01,6.451449e-02,-2.973563e-01,4.929083e-01
20,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-5.230546e-01,3.613697e-01,-3.468428e-01,8.276353e-01,-9.482925e-02,7.292428e-01,-7.656928e-01,3.539298e-01,1.075204e-01,1.597990e-01,-6.510198e-01,8.279094e-02,-7.634551e-01,3.544529e-01,-6.748587e-02,1.079718e-01,-8.990640e-02,-8.418020e-02,-3.510057e-01,5.450752e-01,-3.558934e-01,8.321522e-01,9.565859e-02,9.901414e-02,-4.201228e-01,-1.433825e-01,-5.835584e-03,9.434027e-02,9.310643e-02,9.379200e-02,-1.054330e-01,-9.502222e-02,-1.113160e-01,-9.657995e-02,-9.429603e-02,7.428449e-02,-9.311376e-02,-9.137247e-02,8.745862e-02,9.003787e-02,-8.980117e-02,-8.703553e-02,9.015376e-02,8.811100e-02,-7.976197e-02,-5.953669e-02,8.104634e-02,6.000775e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.510056e-01,8.279890e-02,-3.509885e-01,5.450940e-01
