Vin_1A,Vin_2A,Vin_3A,Vin_1B,Vin_2B,Vin_3B,Vou_1A_dH,Vou_1B_dH,Vou_1A_dL,Vou_1B_dL
1,1,1,-1,-1,-1,-0.352879,0.4346939,-0.4238974,0.7895695
0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,-0.3528819,0.4347261,-0.4238865,0.7895808
0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,-0.3528929,0.4347994,-0.4238786,0.789608
0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,-0.352901,0.4348217,-0.4238956,0.7896182
0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,-0.3529103,0.4348466,-0.4239106,0.7896293
-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.7300499,-0.1815411,0.8255536,-0.4468371
-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.7300538,-0.1815618,0.8255541,-0.4468684
-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.7300565,-0.1815808,0.8255532,-0.4468883
-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.7300488,-0.181513,0.8255592,-0.4468349
-1,-1,-1,1,1,1,0.7300476,-0.1815696,0.8255402,-0.4468253
1,1,-1,-1,-1,1,-0.3528884,0.4347554,-0.4239427,0.7895919
0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.3528921,0.4347824,-0.4239268,0.7896015
0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.3528986,0.4348336,-0.423897,0.7896205
0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.3529026,0.4348315,-0.4239033,0.7896218
0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.3529069,0.4348351,-0.423903,0.7896249
-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.7300524,-0.1815713,0.8255506,-0.4468438
-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.730058,-0.1816133,0.8255489,-0.4468769
-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.7300612,-0.1816392,0.8255473,-0.4468983
-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.7300531,-0.1815677,0.8255537,-0.4468432
-1,-1,1,1,1,-1,0.7300458,-0.1815796,0.8255374,-0.4467828
1,-1,1,-1,1,-1,-0.3528688,0.4347406,-0.4238289,0.7895819
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.3528728,0.4347679,-0.4238253,0.7895919
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.3528879,0.4348228,-0.4238444,0.7896143
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.3528994,0.4348294,-0.4238845,0.7896203
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.3529119,0.4348389,-0.4239217,0.7896273
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.730053,-0.1815643,0.8255521,-0.4468633
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.7300595,-0.1816033,0.8255515,-0.4469156
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.7300629,-0.1816272,0.8255503,-0.4469411
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.7300549,-0.1815577,0.8255565,-0.4468856
-1,1,-1,1,-1,1,0.7300415,-0.181525,0.8255429,-0.4467746
1,-1,-1,-1,1,1,0.7300485,-0.1815912,0.8255362,-0.4468226
0.777777777777778,-0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,0.7300469,-0.1815726,0.8255389,-0.4468117
0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,0.7300461,-0.1815474,0.8255452,-0.4468058
0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0.7300497,-0.1815661,0.8255465,-0.4468309
0.111111111111111,-0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,0.7300526,-0.18158,0.8255479,-0.4468501
-0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,-0.3529178,0.434817,-0.4239369,0.7896224
-0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,-0.352925,0.4347575,-0.42399,0.7896063
-0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,-0.3529261,0.4347246,-0.4240178,0.7895966
-0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,-0.3529269,0.4348029,-0.4239619,0.7896213
