#time,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0020a,CK_0020b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0032a,CK_0032b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0020a,Vout_0020b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0032a,Vout_0032b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,driver_0005a,driver_0005b,driver_0006a,driver_0006b,Out_0025a,Out_0025b,Out_0018a,Out_0018b,Out_0026a,Out_0026b,Out_0008a,Out_0008b
62,-1,-1,2,2,-2,-2,1,1,2,2,-2,-2,-1,-1,2,2,1,1,-2,-2,1,1,2,2,2,2,-1,-1,-1,-1,2,2,-2,-2,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.056873e-01,1.317184e-01,-7.081596e-01,1.797200e-01,-5.251404e-02,9.543102e-02,5.474824e-03,7.684365e-01,-6.790598e-01,1.201655e-01,1.076741e-01,1.283470e-01,-1.112986e-01,-1.202971e-01,-5.859827e-01,7.822075e-01,-3.444978e-01,8.510978e-01,-5.553475e-02,-7.234428e-02,-2.212143e-01,8.662448e-01,-6.361284e-01,4.165209e-01,-2.642431e-01,8.198225e-01,-3.621830e-01,-5.397175e-02,1.183309e-01,1.338399e-01,-7.764133e-01,3.807869e-01,8.060255e-02,1.005564e-01,-6.693233e-01,7.010140e-01,-6.812248e-01,-6.438582e-02,-3.813175e-01,6.585315e-01,-1.351911e-01,1.805459e-01,-2.523998e-01,-7.102098e-02,1.124264e-01,1.194533e-01,-1.133198e-01,-1.048335e-01,1.181034e-01,1.171106e-01,-1.060577e-01,-1.055830e-01,1.120517e-01,1.020783e-01,-9.996902e-02,-1.006013e-01,-4.205217e-01,-2.882433e-01,-4.221502e-01,-1.396834e-01,-1.695830e-01,-1.340455e-01,-1.773141e-01,-8.628477e-02,-1.249925e-01,-1.171301e-01,-1.425405e-01,-9.955237e-02,-1.885686e-01,-1.745794e-01,-2.061394e-01,-1.571588e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.807805e-01,-6.399451e-02,-6.354613e-01,4.171142e-01,-3.812354e-01,6.586863e-01,-7.081617e-01,1.797396e-01
63,0,0,2,2,-2,-2,0,0,2,2,-2,-2,0,0,2,2,0,0,-2,-2,0,0,2,2,2,2,0,0,0,0,2,2,-2,-2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.254568e-02,5.820161e-01,-7.555608e-01,3.144179e-01,-5.362258e-02,9.935903e-02,8.918253e-02,6.024561e-01,-6.184209e-01,2.607453e-01,1.001496e-01,7.636776e-02,-6.130015e-01,7.899263e-02,-4.694413e-01,8.688795e-01,-2.055162e-01,8.540048e-01,-1.309577e-01,-8.441599e-02,-1.218420e-01,8.160802e-01,-6.446762e-01,7.529718e-01,-2.585937e-01,8.116024e-01,-6.528726e-01,3.226919e-01,-2.151508e-01,4.864100e-01,-7.520620e-01,3.926844e-01,-3.338045e-02,8.901586e-02,-5.260035e-01,7.798052e-01,-7.586210e-01,2.141428e-01,-3.405711e-01,8.440565e-01,-3.470386e-01,8.026129e-01,-6.743254e-01,2.785608e-01,-3.460869e-01,8.053571e-01,-6.676867e-01,2.731581e-01,-3.570318e-01,7.897063e-01,-6.844821e-01,2.981242e-01,-3.196195e-01,4.691083e-01,-6.088388e-01,1.120141e-01,-6.830762e-01,1.721695e-01,-6.119097e-01,6.116795e-01,-6.569884e-01,2.283567e-01,-5.886207e-01,6.115932e-01,-6.812176e-01,1.393517e-01,-6.209127e-01,4.781697e-01,-6.157497e-01,-6.054329e-02,-6.224270e-01,1.743289e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-7.582691e-01,2.148796e-01,-6.440450e-01,7.537813e-01,-3.409739e-01,8.439086e-01,-7.556740e-01,3.144981e-01
64,1,1,2,2,-2,-2,-1,-1,2,2,-2,-2,1,1,2,2,-1,-1,-2,-2,-1,-1,2,2,2,2,1,1,1,1,2,2,-2,-2,-1,-1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9.388294e-02,6.812697e-01,-7.502387e-01,3.329082e-01,-6.923705e-02,-3.140262e-02,2.458374e-01,3.027172e-01,-2.403992e-01,2.403820e-01,1.088322e-01,1.089323e-01,-6.222752e-01,6.495366e-02,-2.056987e-01,7.479709e-01,1.549872e-01,4.626207e-01,-1.183561e-01,-8.924116e-02,2.314001e-01,3.731271e-01,-4.786521e-01,8.792684e-01,-8.226376e-02,7.418242e-01,-7.139013e-01,3.474098e-01,-2.847091e-01,4.928202e-01,-4.736336e-01,3.586480e-01,-4.146502e-02,9.034760e-02,1.736877e-01,4.691288e-01,-6.176189e-01,3.368245e-01,-3.498308e-01,8.374719e-01,-3.435256e-01,8.109040e-01,-7.167754e-01,3.106038e-01,-3.421692e-01,8.126191e-01,-7.141055e-01,3.079757e-01,-3.515735e-01,7.923376e-01,-7.249628e-01,3.260215e-01,-3.038620e-01,4.686394e-01,-6.194206e-01,9.345236e-02,-7.371991e-01,3.037930e-01,-6.094024e-01,7.858839e-01,-7.410401e-01,2.822827e-01,-6.519886e-01,7.077886e-01,-7.193928e-01,1.685849e-01,-6.516101e-01,5.616091e-01,-6.422282e-01,-8.372150e-02,-6.404063e-01,1.934886e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.172634e-01,3.375925e-01,-4.780164e-01,8.800899e-01,-3.505142e-01,8.371034e-01,-7.504200e-01,3.329413e-01
65,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.119023e-01,7.505542e-01,-6.998556e-01,3.634963e-01,-4.022783e-02,7.976656e-02,1.727607e-01,1.946619e-01,-2.339204e-01,4.190568e-01,1.161619e-01,1.422457e-01,-6.699438e-01,9.873478e-02,-1.184387e-01,7.560342e-01,3.904869e-01,6.572074e-01,-1.072718e-01,-7.727993e-02,1.979837e-01,1.896171e-01,-4.325801e-01,8.847781e-01,9.007353e-02,6.641024e-01,-7.514177e-01,3.770579e-01,-3.738502e-01,5.668829e-01,-1.346548e-01,2.126506e-01,-1.008543e-01,8.786396e-02,5.177599e-01,4.839907e-01,-6.878129e-01,5.388758e-01,-3.604124e-01,8.378606e-01,-3.413544e-01,8.280697e-01,-7.651176e-01,3.551809e-01,-3.452673e-01,8.294948e-01,-7.640133e-01,3.540781e-01,-3.496088e-01,8.104444e-01,-7.656155e-01,3.597172e-01,-3.070676e-01,4.856342e-01,-6.415613e-01,8.603595e-02,-8.028337e-01,5.072378e-01,-5.838125e-01,8.537539e-01,-7.912552e-01,4.064307e-01,-6.686882e-01,8.153646e-01,-8.210469e-01,2.230620e-01,-7.462323e-01,6.501900e-01,-6.990873e-01,-8.641499e-02,-6.880824e-01,2.474632e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.874805e-01,5.396478e-01,-4.319555e-01,8.856085e-01,-3.613441e-01,8.372764e-01,-7.001850e-01,3.634206e-01
66,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.119023e-01,7.505542e-01,-6.998556e-01,3.634963e-01,-4.022783e-02,7.976656e-02,1.727607e-01,1.946619e-01,-2.339204e-01,4.190568e-01,1.161619e-01,1.422457e-01,-6.699438e-01,9.873478e-02,-1.184387e-01,7.560342e-01,3.904869e-01,6.572074e-01,-1.072718e-01,-7.727993e-02,1.979837e-01,1.896171e-01,-4.325801e-01,8.847781e-01,9.007353e-02,6.641024e-01,-7.514177e-01,3.770579e-01,-3.738502e-01,5.668829e-01,-1.346548e-01,2.126506e-01,-1.008543e-01,8.786396e-02,5.177599e-01,4.839907e-01,-6.878129e-01,5.388758e-01,-3.604124e-01,8.378606e-01,-3.413544e-01,8.280697e-01,-7.651176e-01,3.551809e-01,-3.452673e-01,8.294948e-01,-7.640133e-01,3.540781e-01,-3.496088e-01,8.104444e-01,-7.656155e-01,3.597172e-01,-3.070676e-01,4.856342e-01,-6.415613e-01,8.603595e-02,-8.028337e-01,5.072378e-01,-5.838125e-01,8.537539e-01,-7.912552e-01,4.064307e-01,-6.686882e-01,8.153646e-01,-8.210469e-01,2.230620e-01,-7.462323e-01,6.501900e-01,-6.990873e-01,-8.641499e-02,-6.880824e-01,2.474632e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.874805e-01,5.396478e-01,-4.319555e-01,8.856085e-01,-3.613441e-01,8.372764e-01,-7.001850e-01,3.634206e-01
67,2,2,1,1,-1,-1,-2,-2,1,1,-1,-1,2,2,1,1,-2,-2,-1,-1,-2,-2,1,1,1,1,2,2,2,2,1,1,-1,-1,-2,-2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.101683e-01,7.568692e-01,-6.479355e-01,3.547965e-01,-1.222924e-01,3.588738e-02,1.438010e-01,1.834381e-01,-2.668163e-01,4.556821e-01,1.281609e-01,2.128650e-01,-7.102836e-01,1.817414e-01,-1.896878e-01,7.966935e-01,2.795200e-01,5.877668e-01,-2.513426e-01,-5.536058e-02,1.852320e-01,1.451894e-01,-4.214771e-01,8.562472e-01,1.503368e-01,5.308331e-01,-7.520875e-01,3.793541e-01,-3.857937e-01,6.630627e-01,-7.607800e-02,1.552848e-01,-1.294918e-01,1.909248e-01,4.491487e-01,4.495545e-01,-6.164777e-01,6.004358e-01,-2.830219e-01,7.918529e-01,-3.455136e-01,8.284319e-01,-7.741493e-01,3.533106e-01,-3.456417e-01,8.295813e-01,-7.635442e-01,3.540168e-01,-3.496362e-01,8.104353e-01,-7.656194e-01,3.596823e-01,-3.070707e-01,4.856124e-01,-6.415583e-01,8.600023e-02,-8.066920e-01,5.692750e-01,-5.617624e-01,8.620769e-01,-8.042668e-01,4.532689e-01,-6.666119e-01,8.152419e-01,-8.247871e-01,2.510305e-01,-7.461924e-01,6.509814e-01,-7.009407e-01,-7.382702e-02,-6.884839e-01,2.487301e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-6.161481e-01,6.012106e-01,-4.208527e-01,8.570780e-01,-2.841591e-01,7.909789e-01,-6.483065e-01,3.546332e-01
68,2,2,0,0,0,0,-2,-2,0,0,0,0,2,2,0,0,-2,-2,0,0,-2,-2,0,0,0,0,2,2,2,2,0,0,0,0,-2,-2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.097713e-01,7.455487e-01,-6.375158e-01,3.466830e-01,-6.140911e-01,1.916732e-01,3.511586e-02,1.617262e-01,-2.683761e-01,4.548959e-01,-2.610729e-01,5.414087e-01,-7.544318e-01,3.105071e-01,-2.391048e-01,8.234279e-01,1.310899e-01,5.057490e-01,-6.865085e-01,3.107074e-01,1.702531e-01,1.231540e-01,-4.160154e-01,8.439906e-01,1.385406e-01,4.928832e-01,-7.514327e-01,3.786984e-01,-3.499775e-01,8.475893e-01,-6.780402e-02,1.561134e-01,-3.471531e-01,7.920151e-01,3.802697e-01,4.167080e-01,-5.285158e-01,6.297988e-01,-2.718283e-01,7.770739e-01,-3.495075e-01,8.291601e-01,-7.819567e-01,3.519761e-01,-3.456550e-01,8.296461e-01,-7.630714e-01,3.541767e-01,-3.495353e-01,8.104730e-01,-7.656157e-01,3.597610e-01,-3.070999e-01,4.857106e-01,-6.415888e-01,8.610510e-02,-7.850232e-01,5.968813e-01,-5.432215e-01,8.738773e-01,-8.103252e-01,4.696536e-01,-6.644420e-01,8.155395e-01,-8.265115e-01,2.617158e-01,-7.465775e-01,6.508053e-01,-7.016508e-01,-6.924905e-02,-6.888778e-01,2.489017e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-5.281865e-01,6.305759e-01,-4.153911e-01,8.448213e-01,-2.732415e-01,7.760177e-01,-6.380586e-01,3.465663e-01
69,2,2,-1,-1,1,1,-2,-2,-1,-1,1,1,2,2,-1,-1,-2,-2,1,1,-2,-2,-1,-1,-1,-1,2,2,2,2,-1,-1,1,1,-2,-2,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.103904e-01,7.449211e-01,-1.522541e-01,1.393362e-01,-6.406044e-01,2.092326e-01,-1.984350e-02,1.348216e-01,1.737630e-01,1.231632e-01,-2.975686e-01,5.690038e-01,-7.627880e-01,3.304501e-01,2.016390e-02,2.169627e-01,7.738255e-02,2.386011e-01,-7.235816e-01,3.356255e-01,1.459305e-01,1.214373e-01,7.430024e-02,4.054831e-01,1.931128e-01,1.369948e-01,-7.514511e-01,3.767202e-01,-3.501774e-01,8.372837e-01,-4.789804e-04,-8.903819e-02,-3.423503e-01,7.998184e-01,2.458383e-01,1.613429e-01,9.693267e-02,3.917273e-01,1.163219e-01,2.721544e-01,-1.389272e-01,7.493604e-01,-5.956760e-01,3.745381e-01,-3.530965e-01,8.317233e-01,-7.704894e-01,3.532317e-01,-3.496340e-01,8.104880e-01,-7.651985e-01,3.599162e-01,-3.070694e-01,4.856577e-01,-6.416029e-01,8.607369e-02,-4.607245e-01,6.689321e-01,-2.237963e-01,8.285393e-01,-7.772196e-01,5.433939e-01,-5.116761e-01,8.621594e-01,-8.245700e-01,3.272635e-01,-6.956604e-01,6.833776e-01,-7.064883e-01,-3.575127e-02,-6.821526e-01,2.615133e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,9.726095e-02,3.925034e-01,7.492393e-02,4.063136e-01,1.145216e-01,2.705988e-01,-1.529124e-01,1.390440e-01
70,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.105610e-01,7.442298e-01,-5.452043e-02,1.118580e-01,-6.757278e-01,1.655454e-01,-1.007556e-01,9.403978e-02,6.385252e-02,3.476809e-02,-3.714578e-01,6.020426e-01,-7.723532e-01,3.565412e-01,-9.375957e-02,4.178990e-02,-5.264635e-02,1.476659e-02,-7.630131e-01,3.656419e-01,1.101538e-01,1.115943e-01,3.514494e-01,6.130558e-01,1.097853e-01,1.089616e-01,-7.509432e-01,3.761145e-01,-3.490681e-01,8.303482e-01,-3.965468e-02,-5.961034e-02,-3.397127e-01,8.410255e-01,2.077899e-02,6.366110e-05,4.918249e-01,5.584218e-01,1.140159e-01,1.622075e-01,-8.900214e-02,7.281297e-01,-5.155374e-01,3.600398e-01,-3.552476e-01,8.329308e-01,-7.641681e-01,3.550001e-01,-3.488989e-01,8.106130e-01,-7.653182e-01,3.604739e-01,-3.071074e-01,4.861048e-01,-6.417214e-01,8.661972e-02,-3.668722e-01,6.751419e-01,-1.222656e-01,7.994946e-01,-7.570526e-01,5.664659e-01,-4.662608e-01,8.635987e-01,-8.243045e-01,3.457822e-01,-6.728201e-01,6.914195e-01,-7.079155e-01,-2.695350e-02,-6.781180e-01,2.652086e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,4.921537e-01,5.591981e-01,3.520737e-01,6.138874e-01,1.120555e-01,1.605022e-01,-5.518454e-02,1.115009e-01
71,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.105610e-01,7.442298e-01,-5.452044e-02,1.118579e-01,-6.757278e-01,1.655454e-01,-1.007556e-01,9.403978e-02,6.385252e-02,3.476809e-02,-3.714578e-01,6.020426e-01,-7.723532e-01,3.565412e-01,-9.375957e-02,4.178990e-02,-5.264635e-02,1.476659e-02,-7.630131e-01,3.656419e-01,1.101538e-01,1.115943e-01,3.514494e-01,6.130558e-01,1.097853e-01,1.089616e-01,-7.509432e-01,3.761145e-01,-3.490681e-01,8.303482e-01,-3.965468e-02,-5.961034e-02,-3.397127e-01,8.410255e-01,2.077899e-02,6.365966e-05,4.918249e-01,5.584218e-01,1.140158e-01,1.622075e-01,-8.900206e-02,7.281296e-01,-5.155373e-01,3.600396e-01,-3.552476e-01,8.329308e-01,-7.641680e-01,3.550001e-01,-3.488989e-01,8.106131e-01,-7.653182e-01,3.604739e-01,-3.071076e-01,4.861049e-01,-6.417216e-01,8.661983e-02,-3.668722e-01,6.751419e-01,-1.222656e-01,7.994946e-01,-7.570526e-01,5.664659e-01,-4.662608e-01,8.635987e-01,-8.243045e-01,3.457822e-01,-6.728201e-01,6.914195e-01,-7.079155e-01,-2.695351e-02,-6.781180e-01,2.652086e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,4.921537e-01,5.591981e-01,3.520737e-01,6.138874e-01,1.120555e-01,1.605022e-01,-5.518455e-02,1.115008e-01
72,1,1,-2,-2,2,2,-1,-1,-2,-2,2,2,1,1,-2,-2,-1,-1,2,2,-1,-1,-2,-2,-2,-2,1,1,1,1,-2,-2,2,2,-1,-1,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.021291e-01,7.142510e-01,-6.238512e-02,7.469101e-02,-7.057941e-01,2.291464e-01,-1.091040e-01,2.248386e-01,-1.362347e-01,-1.288033e-01,-3.659942e-01,6.742881e-01,-7.375896e-01,3.351899e-01,-2.905857e-01,-1.609131e-01,-2.287415e-01,2.839545e-02,-7.659034e-01,3.679109e-01,1.397496e-01,1.597880e-01,2.740429e-01,5.403981e-01,9.016288e-02,1.073352e-01,-7.074225e-01,3.321891e-01,-3.432701e-01,8.060872e-01,-4.025650e-02,-6.605690e-02,-3.380478e-01,8.390439e-01,-5.714742e-02,-5.548763e-02,4.033809e-01,4.516658e-01,1.130025e-01,1.595477e-01,-7.110442e-02,6.784219e-01,-4.547810e-01,2.969843e-01,-3.407441e-01,8.119444e-01,-7.044096e-01,3.112983e-01,-3.513767e-01,7.923613e-01,-7.260079e-01,3.264796e-01,-3.035227e-01,4.687213e-01,-6.193340e-01,9.377658e-02,-3.272802e-01,5.782687e-01,-1.432083e-01,7.829992e-01,-6.732456e-01,4.690947e-01,-4.507673e-01,7.896384e-01,-7.367093e-01,2.694997e-01,-5.955366e-01,6.241827e-01,-6.545303e-01,-3.550267e-02,-6.357687e-01,2.270791e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,4.037382e-01,4.524290e-01,2.746793e-01,5.412215e-01,1.113733e-01,1.581712e-01,-6.286237e-02,7.449319e-02
73,0,0,-2,-2,2,2,0,0,-2,-2,2,2,0,0,-2,-2,0,0,2,2,0,0,-2,-2,-2,-2,0,0,0,0,-2,-2,2,2,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.434136e-02,5.810042e-01,-6.510248e-02,9.134665e-02,-7.533293e-01,3.595547e-01,-2.935157e-01,8.201928e-01,-4.629091e-01,-2.798037e-01,-3.359592e-01,8.314324e-01,-6.894865e-01,3.295253e-01,-5.374798e-01,-3.347538e-01,-6.796768e-01,4.122617e-01,-7.741818e-01,3.621901e-01,-2.325505e-01,5.150576e-01,1.706288e-01,4.555642e-01,-9.793228e-03,9.603883e-02,-6.423530e-01,3.029905e-01,-2.699827e-01,7.711616e-01,-1.293701e-01,-8.104039e-02,-3.504198e-01,8.318000e-01,-6.142315e-01,1.411569e-01,3.085783e-01,3.521528e-01,1.026185e-01,1.051085e-01,-4.454716e-03,5.532615e-01,-4.109846e-01,2.877705e-01,-2.674331e-01,7.897825e-01,-6.548257e-01,2.842561e-01,-3.663499e-01,7.931045e-01,-6.935597e-01,2.936384e-01,-3.182904e-01,4.683872e-01,-6.061061e-01,1.132594e-01,-2.874041e-01,5.336828e-01,-1.862290e-01,7.690786e-01,-6.412861e-01,4.298194e-01,-4.415157e-01,6.921273e-01,-6.590980e-01,2.919658e-01,-5.009739e-01,5.175720e-01,-6.504448e-01,3.233097e-03,-5.822611e-01,1.958492e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,3.089248e-01,3.528722e-01,1.712754e-01,4.563850e-01,1.011038e-01,1.038816e-01,-6.554751e-02,9.118511e-02
74,-1,-1,-2,-2,2,2,1,1,-2,-2,2,2,-1,-1,-2,-2,1,1,2,2,1,1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,2,2,1,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.071931e-01,1.452315e-01,-8.807472e-02,-6.218640e-02,-7.670819e-01,3.713448e-01,-3.105274e-01,8.174698e-01,-5.525074e-01,-3.655897e-01,-3.447181e-01,8.326984e-01,-1.961499e-01,1.561636e-01,-6.041789e-01,-4.275217e-01,-7.138209e-01,4.266686e-01,-5.986310e-01,3.820820e-01,-2.642398e-01,5.178953e-01,6.198537e-02,1.137137e-01,-3.965769e-02,8.600405e-02,-3.782427e-01,-1.005167e-02,1.049322e-01,2.690473e-01,-1.255186e-01,-9.112469e-02,-1.366886e-01,7.495830e-01,-6.150810e-01,1.353828e-01,1.228362e-01,9.693287e-02,9.282492e-02,7.659106e-02,1.297048e-01,1.155647e-01,-1.282296e-01,-1.003413e-01,1.188825e-01,1.185200e-01,-1.079172e-01,-1.061920e-01,1.180878e-01,1.169552e-01,-1.060808e-01,-1.059239e-01,1.118913e-01,1.018656e-01,-1.002192e-01,-1.009479e-01,8.409552e-02,7.717602e-02,6.279662e-02,8.700868e-02,-7.631941e-03,-5.934377e-03,-2.366881e-02,8.471598e-03,-5.626769e-02,-5.149088e-02,-7.303346e-02,-3.898926e-02,-1.679202e-01,-1.484439e-01,-1.780501e-01,-1.397215e-01,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,1.232741e-01,9.733683e-02,6.265238e-02,1.143066e-01,9.183504e-02,7.588038e-02,-8.832338e-02,-6.232413e-02
75,-2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1.109097e-01,1.154817e-01,-9.284322e-02,-9.221599e-02,-7.702777e-01,3.894578e-01,-3.211425e-01,8.551345e-01,-6.337432e-01,-4.308759e-01,-3.473296e-01,8.342608e-01,-7.602564e-02,1.066119e-01,-6.758974e-01,-5.147500e-01,-7.534949e-01,4.414989e-01,-5.232996e-01,3.664806e-01,-3.564277e-01,5.868338e-01,-1.075914e-01,-1.010701e-01,-1.135076e-01,7.303784e-02,-3.037568e-01,-1.201487e-01,1.124245e-01,1.609761e-01,-1.233814e-01,-9.440911e-02,-9.235450e-02,7.285034e-01,-6.566789e-01,1.635930e-01,-9.117323e-02,-7.250116e-02,8.737850e-02,9.046572e-02,9.154832e-02,9.196372e-02,-9.176070e-02,-9.139208e-02,9.202848e-02,9.175299e-02,-9.101320e-02,-9.047308e-02,9.086478e-02,8.839945e-02,-8.943261e-02,-8.691219e-02,8.114248e-02,6.001304e-02,-7.975269e-02,-5.958063e-02,-2.811480e-02,-2.399054e-02,-3.383488e-02,-3.147424e-02,-1.483445e-02,-1.313032e-02,-1.734245e-02,-1.629519e-02,-1.964535e-02,-1.640702e-02,-2.045073e-02,-2.110967e-02,-9.523254e-02,-7.305325e-02,-8.385155e-02,-9.894142e-02,5.073752e-01,-4.038565e-01,5.073752e-01,-4.038565e-01,-9.080854e-02,-7.220722e-02,-1.070468e-01,-1.006289e-01,8.660628e-02,9.002334e-02,-9.314366e-02,-9.231529e-02
